x,z,p,acqf,penalty,pacqf
[-2.75  1.25],[-5.579584],[217.7493652],6.77314107428373e-26,0.0,6.77314107428373e-26
[-2.25  2.75],[-6.2031713],[284.69800244],5.064590545245909e-24,0.0,5.064590545245909e-24
[-1.75  0.25],[-4.167768],[252.87878403],1.9550456103623405e-30,0.0,1.9550456103623405e-30
[2.25 4.25],[-3.838485],[278.19539838],1.6608269018634453e-31,0.0,1.6608269018634453e-31
[-1.25  0.75],[-4.126608],[269.29813523],1.4343792527533275e-30,0.0,1.4343792527533275e-30
[ 3.25 -1.75],[0.89706784],[237.50160469],3.995921951456772e-37,0.0,3.995921951456772e-37
[-3.25 -0.75],[-4.6236234],[285.13464629],6.038221085943273e-29,0.0,6.038221085943273e-29
[-0.75 -0.25],[-3.088326],[270.97413882],7.448751476735203e-34,0.0,7.448751476735203e-34
[ 3.75 -3.75],[2.6000967],[233.12135768],4.352094473631153e-32,0.0,4.352094473631153e-32
[ 1.75 -2.75],[0.44121295],[237.04479577],6.593244165409081e-38,0.0,6.593244165409081e-38
[-3.75  4.75],[-8.653269],[219.0827753],6.904758320834888e-18,0.0,6.904758320834888e-18
[ 1.25 -3.25],[0.40005252],[219.58232828],5.809406656168827e-38,0.0,5.809406656168827e-38
[-4.75 -1.25],[-5.411852],[277.87498391],2.0344679727958932e-26,0.0,2.0344679727958932e-26
[ 4.25 -4.75],[3.6383784],[221.96187215],3.4177305906746114e-28,0.0,3.4177305906746114e-28
[0.25 3.75],[-5.000248],[283.20747491],1.003295170173553e-27,0.0,1.003295170173553e-27
[ 0.75 -4.25],[0.69126576],[280.27161478],1.6298123578853154e-37,0.0,1.6298123578853154e-37
[-4.25 -2.25],[-4.3735704],[232.23492002],9.208899769057256e-30,0.0,9.208899769057256e-30
[-0.25  1.75],[-4.0442867],[232.66657194],7.7300946207865235e-31,0.0,7.7300946207865235e-31
[2.75 2.25],[-2.135456],[271.45756498],2.082380633844619e-36,0.0,2.082380633844619e-36
[4.75 3.25],[-1.306067],[259.72023788],6.32614681784685e-38,0.0,6.32614681784685e-38
[ 3.55051017 -3.57618833],[2.3355234],[253.91011047],5.01387007597257e-33,0.0,5.01387007597257e-33
[ 3.50768709 -3.61918163],[2.3321114],[255.48077393],4.881962655248376e-33,0.0,4.881962655248376e-33
[ 3.72273016 -3.4032836 ],[2.3492455],[252.22125244],5.6011698278380584e-33,0.0,5.6011698278380584e-33
[ 4.08982515 -3.96406078],[2.996266],[248.53797913],1.2530473214397022e-30,0.0,1.2530473214397022e-30
[ 4.05616093 -3.99928498],[2.9945316],[281.0819397],1.2354984881323275e-30,0.0,1.2354984881323275e-30
[ 4.09462976 -3.95903349],[2.9965134],[261.84579468],1.2567340287746582e-30,0.0,1.2567340287746582e-30
[ 4.53991079 -4.29396963],[3.5518165],[232.1178894],1.599142266548151e-28,0.0,1.599142266548151e-28
[ 4.57028246 -4.26124573],[3.552753],[218.12120056],1.6146381583152942e-28,0.0,1.6146381583152942e-28
[ 4.4641223  -4.37562799],[3.5494795],[233.48590088],1.5687765254635517e-28,0.0,1.5687765254635517e-28
[ 4.99533129 -4.63193226],[4.1167064],[241.20405579],2.2149499420338293e-26,0.0,2.2149499420338293e-26
[ 4.96233463 -4.66839218],[4.1162925],[240.85028076],2.2063488966701342e-26,0.0,2.2063488966701342e-26
[ 4.75575447 -4.89665556],[4.1137004],[267.93295288],2.159352879930091e-26,0.0,2.159352879930091e-26
[ 4.99233627 -4.60512543],[4.096649],[287.04928589],1.86393158494457e-26,0.0,1.86393158494457e-26
[ 4.93879795 -4.66509676],[4.096518],[258.95968628],1.860895552759347e-26,0.0,1.860895552759347e-26
[ 4.94112301 -4.66249275],[4.0965242],[252.2286377],1.861214015308771e-26,0.0,1.861214015308771e-26
[ 4.99670029 -4.59170198],[4.0909863],[263.24447632],1.7745781167186067e-26,0.0,1.7745781167186067e-26
[ 4.97902966 -4.6116786 ],[4.0910645],[281.12039185],1.774218676945579e-26,0.0,1.774218676945579e-26
[ 4.88655281 -4.71622515],[4.091475],[217.04669189],1.7813624049610867e-26,0.0,1.7813624049610867e-26
[-1.59563947  1.24703979],[-4.71523],[248.09454346],1.200486143828894e-28,0.0,1.200486143828894e-28
[-1.39642191  1.47142911],[-4.715563],[271.03662109],1.2034339482842095e-28,0.0,1.2034339482842095e-28
[-2.14332986  0.63014692],[-4.714314],[218.97264099],1.192904881009817e-28,0.0,1.192904881009817e-28
