,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-4.8903744],"[-7.369636364670, -4.283082205516]",-454.428840,penalty,-5.566670
1,[-4.8549304],"[-7.334269606776, -4.285420143053]",-450.898476,penalty,-5.566670
2,[-4.8194865],"[-7.298902848882, -4.287758080590]",-447.368230,penalty,-5.566670
3,[-4.7840425],"[-7.263536090988, -4.290096018127]",-443.838105,penalty,-5.566670
4,[-4.7485986],"[-7.228169333093, -4.292433955663]",-440.308102,penalty,-5.566670
5,[-4.7131546],"[-7.192802575199, -4.294771893200]",-436.778223,penalty,-5.566670
6,[-4.6777107],"[-7.157435817305, -4.297109830737]",-433.248472,penalty,-5.566670
7,[-4.6422668],"[-7.122069059411, -4.299447768274]",-429.718849,penalty,-5.566670
8,[-4.6068228],"[-7.086702301517, -4.301785705810]",-426.189358,penalty,-5.566670
9,[-4.5713789],"[-7.051335543623, -4.304123643347]",-422.659999,penalty,-5.566670
10,[-4.5359349],"[-7.015968785728, -4.306461580884]",-419.130777,penalty,-5.566670
11,[-4.5004910],"[-6.980602027834, -4.308799518421]",-415.601692,penalty,-5.566670
12,[-4.4650470],"[-6.945235269940, -4.311137455957]",-412.072748,penalty,-5.566670
13,[-4.4296031],"[-6.909868512046, -4.313475393494]",-408.543947,penalty,-5.566670
14,[-4.3941591],"[-6.874501754152, -4.315813331031]",-405.015291,penalty,-5.566670
15,[-4.3587152],"[-6.839134996258, -4.318151268568]",-401.486784,penalty,-5.566670
16,[-4.3232712],"[-6.803768238363, -4.320489206104]",-397.958427,penalty,-5.566670
17,[-4.2878273],"[-6.768401480469, -4.322827143641]",-394.430223,penalty,-5.566670
18,[-4.2523833],"[-6.733034722575, -4.325165081178]",-390.902176,penalty,-5.566670
19,[-4.2169394],"[-6.697667964681, -4.327503018715]",-387.374287,penalty,-5.566670
20,[-4.1814954],"[-6.662301206787, -4.329840956251]",-383.846561,penalty,-5.566670
21,[-4.1460515],"[-6.626934448893, -4.332178893788]",-380.318999,penalty,-5.566670
22,[-4.1106075],"[-6.591567690998, -4.334516831325]",-376.791606,penalty,-5.566670
23,[-4.0751636],"[-6.556200933104, -4.336854768862]",-373.264384,penalty,-5.566670
24,[-4.0397196],"[-6.520834175210, -4.339192706398]",-369.737336,penalty,-5.566670
25,[-4.0042757],"[-6.485467417316, -4.341530643935]",-366.210466,penalty,-5.566670
26,[-3.9688317],"[-6.450100659422, -4.343868581472]",-362.683777,penalty,-5.566670
27,[-3.9333878],"[-6.414733901528, -4.346206519009]",-359.157273,penalty,-5.566670
28,[-3.8979438],"[-6.379367143634, -4.348544456545]",-355.630956,penalty,-5.566670
29,[-3.8624999],"[-6.344000385739, -4.350882394082]",-352.104832,penalty,-5.566670
30,[-3.8270559],"[-6.308633627845, -4.353220331619]",-348.578903,penalty,-5.566670
31,[-3.7916120],"[-6.273266869951, -4.355558269156]",-345.053173,penalty,-5.566670
