x,z,p,acqf,penalty,pacqf
[-4.25 -0.75],[-0.01453519],[111.67998603],3.852797792866101e-18,0.0,3.852797792866101e-18
[-2.75  0.25],[1.6424077],[53.35022576],2.9972034416603073e-15,0.0,2.9972034416603073e-15
[ 0.25 -3.25],[0.34914148],[43.1221888],1.69741008707851e-26,0.0,1.69741008707851e-26
[-2.25 -2.75],[-0.5974914],[111.9771473],1.1668578051214717e-08,0.0,1.1668578051214717e-08
[3.25 4.75],[8.689012],[121.50865477],3.4719863093714057e-10,0.0,3.4719863093714057e-10
[3.75 3.75],[8.124441],[101.03344815],9.22601238226763e-13,0.0,9.22601238226763e-13
[-4.75  3.25],[3.0630279],[128.87908852],3.9179297683399385e-22,0.0,3.9179297683399385e-22
[2.25 4.25],[7.723994],[70.86382932],1.3388211413306808e-08,0.0,1.3388211413306808e-08
[ 0.75 -1.75],[1.8787305],[121.02686166],2.6887517611187575e-16,0.0,2.6887517611187575e-16
[4.25 1.25],[6.3033733],[107.65854508],1.152204185481858e-06,0.0,1.152204185481858e-06
[-1.25 -4.75],[-1.7266334],[49.86484295],0.006871825069697182,0.0,0.006871825069697182
[-1.75 -3.75],[-1.1620624],[50.38595452],0.0002095347403686025,0.0,0.0002095347403686025
[ 1.75 -0.25],[3.6814127],[116.59060814],1.9225003921604007e-14,0.0,1.9225003921604007e-14
[ 1.25 -1.25],[2.5706556],[121.45618665],3.0844423675009406e-23,0.0,3.0844423675009406e-23
[-0.25  2.25],[4.683201],[108.18742116],8.355531614527978e-09,0.0,8.355531614527978e-09
[-0.75 -2.25],[0.6406196],[110.89715111],1.215795543286846e-21,0.0,1.215795543286846e-21
[-3.75  0.75],[1.5150539],[114.10064827],1.7083351779978086e-14,0.0,1.7083351779978086e-14
[-3.25  1.75],[2.6258109],[118.20545864],8.283104133267741e-24,0.0,8.283104133267741e-24
[4.75 2.75],[7.832963],[93.55054646],3.8274861928345376e-10,0.0,3.8274861928345376e-10
[ 2.75 -4.25],[0.8769424],[108.37994603],2.049283360642336e-16,0.0,2.049283360642336e-16
[-2.55523658 -4.37793398],[-2.1278691],[60.61066437],0.014892469405884482,0.0,0.014892469405884482
[-2.70729232 -4.59734344],[-2.394711],[72.29985046],0.0031831574381362363,0.0,0.0031831574381362363
[-2.83679008 -4.80325031],[-2.6379218],[65.76197052],2.6339448568454357e-05,0.0,2.6339448568454357e-05
[-2.97283673 -4.99847078],[-2.8757577],[60.84605026],9.511855729482044e-09,0.0,9.511855729482044e-09
[-2.98852539 -4.99906969],[-2.884828],[61.17208099],1.0121254009581306e-08,0.0,1.0121254009581306e-08
[-3.00123096 -4.99999046],[-2.892539],[61.41567993],1.1128929956023716e-08,0.0,1.1128929956023716e-08
[-3.01089382 -4.99987316],[-2.8977187],[61.64964676],1.2123640796403327e-08,0.0,1.2123640796403327e-08
[-3.01885247 -4.99999905],[-2.902171],[61.8315506],1.3224834497194274e-08,0.0,1.3224834497194274e-08
[-3.02511954 -4.99973822],[-2.9053755],[61.99708557],1.4184167169905552e-08,0.0,1.4184167169905552e-08
[-3.03050566 -4.99991226],[-2.908463],[62.11681747],1.5262507945003326e-08,0.0,1.5262507945003326e-08
[-3.03470278 -4.99966049],[-2.9105446],[62.2336998],1.608676333940655e-08,0.0,1.608676333940655e-08
[-3.03851271 -4.99998951],[-2.9129012],[62.30685806],1.712323410622293e-08,0.0,1.712323410622293e-08
[-3.04150414 -4.99998951],[-2.914535],[62.38001633],1.7913462041805332e-08,0.0,1.7913462041805332e-08
[-3.04398966 -4.99999189],[-2.9158945],[62.44084167],1.8621958979327562e-08,0.0,1.8621958979327562e-08
[-3.04164982 -4.99300098],[-2.9087605],[62.81310654],1.537382390511795e-08,0.0,1.537382390511795e-08
[-3.04104328 -4.98938084],[-2.9053967],[63.02614594],1.419062832085329e-08,0.0,1.419062832085329e-08
[-3.04869199 -4.99936008],[-2.9179335],[62.59525681],1.9774347517446856e-08,0.0,1.9774347517446856e-08
[-2.3958993 -3.9618454],[-1.6922989],[51.69251251],0.005825458151507264,0.0,0.005825458151507264
[-2.40373802 -3.9630394 ],[-1.6975803],[51.79836655],0.005976237520420538,0.0,0.005976237520420538
[-2.41912723 -3.97702885],[-1.7177043],[51.3230896],0.00658486905002863,0.0,0.00658486905002863
[-1.33977985 -2.29070115],[0.2843962],[111.78474426],7.160193840654475e-26,0.0,7.160193840654475e-26
[-1.28811431 -2.21271515],[0.37794125],[112.70326233],1.5829640388381666e-26,0.0,1.5829640388381666e-26
[-2.32077026 -3.79956508],[-1.515328],[71.46755219],0.002482253474245522,0.0,0.002482253474245522
[-1.311584   -2.24837923],[0.33524793],[112.28622437],1.9965059003063098e-26,0.0,1.9965059003063098e-26
[-2.60479832 -4.23329163],[-2.0337772],[47.748703],0.016410805784701887,0.0,0.016410805784701887
