x,z,p,acqf,penalty,pacqf
[2.75 1.25],[-2.7883883],[-259.32159818],1.2008125221938594e-18,0.0,1.2008125221938594e-18
[-3.25  2.75],[1.622562],[-199.13727311],4.068743035693061e-10,0.0,4.068743035693061e-10
[0.75 3.25],[-2.0786388],[-166.87364979],1.3294215802683394e-15,0.0,1.3294215802683394e-15
[0.25 0.25],[-0.1265442],[-215.59007859],1.4842999544867274e-10,0.0,1.4842999544867274e-10
[4.25 0.75],[-3.8277452],[-138.65391208],7.59543799938707e-20,0.0,7.59543799938707e-20
[-1.25  2.25],[0.15224528],[-165.79644514],2.698003612838917e-10,0.0,2.698003612838917e-10
[-0.25 -0.75],[0.8114606],[-222.33431346],5.443166474390286e-10,0.0,5.443166474390286e-10
[-1.75  4.25],[-0.4308846],[-175.11887143],6.065102555716398e-11,0.0,6.065102555716398e-11
[-2.75 -1.75],[3.4733047],[-124.4326751],2.5236796276573724e-12,0.0,2.5236796276573724e-12
[-2.25 -2.25],[3.2958672],[-251.58165637],5.120181801222978e-12,0.0,5.120181801222978e-12
[-0.75 -3.75],[2.7635553],[-190.77420103],3.4883728629745086e-11,0.0,3.4883728629745086e-11
[-4.25 -0.25],[4.0056167],[-71.34721007],3.1362842085040105e-13,0.0,3.1362842085040105e-13
[3.75 3.75],[-4.9179206],[-208.40844434],1.8149094270617158e-14,0.0,1.8149094270617158e-14
[-4.75 -1.25],[4.943621],[-244.21438106],6.642409317332632e-14,0.0,6.642409317332632e-14
[2.25 1.75],[-2.610951],[-128.12446043],6.41542119397995e-18,0.0,6.41542119397995e-18
[ 3.25 -4.75],[-0.17707825],[-170.75070124],1.3030272285444165e-10,0.0,1.3030272285444165e-10
[1.75 4.75],[-3.701126],[-133.61129632],4.237321481903162e-20,0.0,4.237321481903162e-20
[ 4.75 -3.25],[-2.2305253],[-153.59115234],2.96335954524216e-16,0.0,2.96335954524216e-16
[ 1.25 -2.75],[0.5326711],[-192.88412356],4.5258047790134706e-10,0.0,4.5258047790134706e-10
[-3.75 -4.25],[5.6028366],[-104.04137675],5.77001207583334e-13,0.0,5.77001207583334e-13
[4.27329826 2.63454556],[-4.8033757],[-80.36997223],3.862934047364467e-15,0.0,3.862934047364467e-15
[4.25878    2.65805697],[-4.8027835],[-28.31081581],3.832872975300983e-15,0.0,3.832872975300983e-15
[4.51236057 2.24739766],[-4.813127],[-192.3714447],4.4107449429176536e-15,0.0,4.4107449429176536e-15
[-3.78128791 -2.23057437],[4.605865],[-227.04188538],6.82899748508626e-14,0.0,6.82899748508626e-14
[-3.93169022 -1.97469831],[4.6057587],[-193.4493103],6.829806713464771e-14,0.0,6.829806713464771e-14
[-3.86708546 -2.08460927],[4.6058044],[-225.96182251],6.830022436077948e-14,0.0,6.830022436077948e-14
[-4.38222837 -2.42441368],[5.222112],[-247.18255615],1.164227326602448e-13,0.0,1.164227326602448e-13
[-4.50189257 -2.20949793],[5.216281],[-241.23088074],1.1438601980286612e-13,0.0,1.1438601980286612e-13
[-4.23308754 -2.69226885],[5.2293797],[-230.38798523],1.1900634733938442e-13,0.0,1.1900634733938442e-13
[-4.87606812 -2.69888711],[5.786933],[-138.92359924],1.6684459243948791e-12,0.0,1.6684459243948791e-12
[-4.43321133 -3.49561548],[5.809203],[-224.26869202],1.91663380061251e-12,0.0,1.91663380061251e-12
[-4.42391586 -3.51233935],[5.8096704],[-228.1789856],1.921647623678376e-12,0.0,1.921647623678376e-12
[-4.99998379 -2.98072362],[6.036642],[57.47424316],8.684853911409228e-12,0.0,8.684853911409228e-12
[-4.88507509 -3.17529154],[6.036255],[45.31920242],8.66129025829818e-12,0.0,8.66129025829818e-12
[-4.73853683 -3.42341614],[6.035761],[-181.38473511],8.634189391819617e-12,0.0,8.634189391819617e-12
[-1.00099468 -0.64033204],[1.403151],[-106.63582611],4.950986653879197e-10,0.0,4.950986653879197e-10
[-1.165622   -0.36503294],[1.4054575],[-191.62802124],4.944519620876697e-10,0.0,4.944519620876697e-10
[-0.6111446 -1.2922616],[1.3976892],[-61.82791901],4.970360130544131e-10,0.0,4.970360130544131e-10
[3.09715891 1.80315316],[-3.368085],[-234.75747681],3.4655956557574945e-20,0.0,3.4655956557574945e-20
[3.6066196  0.95239443],[-3.375826],[-162.25704956],3.404552439537095e-20,0.0,3.404552439537095e-20
[2.50434613 2.79310322],[-3.359077],[-235.79518127],3.538080786741911e-20,0.0,3.538080786741911e-20
[3.39832544 2.08188152],[-3.7689939],[-198.03445435],5.597710301084972e-20,0.0,5.597710301084972e-20
[3.44286156 2.0100379 ],[-3.7709527],[-191.0333252],5.650417638368374e-20,0.0,5.650417638368374e-20
[3.56386352 1.81484258],[-3.7762737],[-185.36064148],5.798436300117509e-20,0.0,5.798436300117509e-20
[-4.64161301 -2.88785219],[5.6806655],[-199.77763367],8.865876549299606e-13,0.0,8.865876549299606e-13
[-4.74837542 -2.71397972],[5.6845245],[-190.16304016],9.064265364097506e-13,0.0,9.064265364097506e-13
[-4.90519094 -2.45859098],[5.6901937],[-166.50683594],9.363320625915257e-13,0.0,9.363320625915257e-13
[3.43391228 2.09421587],[-3.805921],[-190.53483582],6.741248819778029e-20,0.0,6.741248819778029e-20
[3.50436783 1.97974944],[-3.8086085],[-178.33590698],6.834930847643117e-20,0.0,6.834930847643117e-20
