x,z,p,acqf,penalty,pacqf
[-3.25  4.75],[-6.274808],[5.68205425],2.9228685715838646e-05,-1.3881207,-1.3881206512451172
[-0.25  3.25],[-3.4752655],[-2.17971135],2.9088441016459337e-05,0.0,2.9088441016459337e-05
[-2.25  0.25],[-1.8780699],[89.66466842],2.9042226814822316e-05,0.0,2.9042226814822316e-05
[ 1.75 -2.75],[2.7205422],[77.16027465],2.904875464062406e-05,0.0,2.904875464062406e-05
[-3.75  4.25],[-6.091981],[213.42857865],2.921819045991354e-05,0.0,2.921819045991354e-05
[-0.75  2.25],[-2.8594942],[47.11591164],2.906596523129426e-05,0.0,2.906596523129426e-05
[ 2.25 -1.25],[1.6718261],[10.33635653],2.9027912676809377e-05,0.0,2.9027912676809377e-05
[ 3.25 -4.75],[5.202674],[72.99626557],2.9137942424478577e-05,0.0,2.9137942424478577e-05
[ 3.75 -1.75],[2.855125],[-19.56106947],2.905003768011613e-05,0.0,2.905003768011613e-05
[1.25 1.75],[-1.4260774],[-15.94788776],2.9032142125578937e-05,0.0,2.9032142125578937e-05
[ 0.75 -0.75],[0.4885275],[126.34137332],2.9020166050361456e-05,0.0,2.9020166050361456e-05
[-4.75  0.75],[-3.5616045],[925.95993007],2.9090379085811967e-05,0.0,2.9090379085811967e-05
[ 4.25 -3.25],[4.4040766],[-14.37182087],2.910307684108805e-05,0.0,2.910307684108805e-05
[ 2.75 -0.25],[1.0560548],[-16.50034667],2.9020704283988083e-05,0.0,2.9020704283988083e-05
[0.25 3.75],[-3.6580925],[-27.58646628],2.9093077429182905e-05,0.0,2.9093077429182905e-05
[-1.25 -3.75],[2.0857232],[905.43297802],2.903566607458846e-05,0.0,2.903566607458846e-05
[-4.25  1.25],[-3.744431],[276.64423865],2.9097656196924048e-05,0.0,2.9097656196924048e-05
[4.75 2.75],[-0.54114056],[-24.9789202],2.9019615460880395e-05,0.0,2.9019615460880395e-05
[-1.75 -4.25],[2.26855],[443.19257299],2.903607826227627e-05,0.0,2.903607826227627e-05
[-2.75 -2.25],[0.03653526],[521.17132602],2.9016237719411292e-05,0.0,2.9016237719411292e-05
[ 3.52499056 -3.6343751 ],[4.3742275],[49.29413605],2.909955913513375e-05,0.0,2.909955913513375e-05
[ 3.37499094 -4.02726126],[4.639388],[4.81139803],2.9113771068039876e-05,0.0,2.9113771068039876e-05
[ 3.24766874 -4.42767048],[4.922406],[146.89352417],2.9128478119115723e-05,0.0,2.9128478119115723e-05
[ 3.1565237  -4.72755861],[5.1364822],[181.27983093],2.913893476210333e-05,0.0,2.913893476210333e-05
[ 3.06885052 -4.97649908],[5.30818],[187.51480103],2.9142821535380648e-05,0.0,2.9142821535380648e-05
[ 2.87333918 -4.95046663],[5.187837],[29.17059708],2.913877424435088e-05,0.0,2.913877424435088e-05
[-1.1548655   3.58940744],[-4.221801],[-6.49018812],2.9116913349223927e-05,0.0,2.9116913349223927e-05
[-1.37331212  3.74518061],[-4.4659586],[29.49910736],2.9128251873891677e-05,0.0,2.9128251873891677e-05
[ 2.98137283 -4.94481993],[5.23699],[187.99545288],2.9141836665985396e-05,0.0,2.9141836665985396e-05
[-1.38425112  3.68325448],[-4.417809],[-8.17591953],2.9124502701722196e-05,0.0,2.9124502701722196e-05
[-1.5919801   3.84773302],[-4.664143],[-7.4355669],2.913737607570747e-05,0.0,2.913737607570747e-05
[-1.75258172  3.91243792],[-4.800509],[41.21811676],2.9142965753467048e-05,0.0,2.9142965753467048e-05
[-1.92908478  4.01732206],[-4.979619],[-14.92823124],2.9156724778808767e-05,0.0,2.9156724778808767e-05
