x,z,p,acqf,penalty,pacqf
[-3.25  4.75],[-6.719662],[5.68205425],7.049355518353115e-05,-2.950015,-2.950015068054199
[-0.25  3.25],[-4.0636697],[-2.17971135],6.889177728347003e-05,0.0,6.889177728347003e-05
[-2.25  0.25],[-2.232904],[89.66466842],6.825893685171247e-05,0.0,6.825893685171247e-05
[ 1.75 -2.75],[2.208776],[77.16027465],6.831081978362052e-05,0.0,6.831081978362052e-05
[-3.75  4.25],[-6.4870596],[213.42857865],7.031699676755193e-05,-0.85576534,-0.8557653427124023
[-0.75  2.25],[-3.3808887],[47.11591164],6.860821046908173e-05,0.0,6.860821046908173e-05
[ 2.25 -1.25],[1.075817],[10.33635653],6.809183546948297e-05,0.0,6.809183546948297e-05
[ 3.25 -4.75],[4.662218],[72.99626557],6.929428877574037e-05,0.0,6.929428877574037e-05
[ 3.75 -1.75],[2.178724],[-19.56106947],6.830280458575593e-05,0.0,6.830280458575593e-05
[1.25 1.75],[-2.0604055],[-15.94788776],6.822404814957958e-05,0.0,6.822404814957958e-05
[ 0.75 -0.75],[-0.02709001],[126.34137332],6.800688040610333e-05,0.0,6.800688040610333e-05
[-4.75  0.75],[-3.7709632],[925.95993007],6.876300138512928e-05,0.0,6.876300138512928e-05
[ 4.25 -3.25],[3.7468357],[-14.37182087],6.884473751063288e-05,0.0,6.884473751063288e-05
[ 2.75 -0.25],[0.3930365],[-16.50034667],6.802482681757293e-05,0.0,6.802482681757293e-05
[0.25 3.75],[-4.296272],[-27.58646628],6.899919587536413e-05,0.0,6.899919587536413e-05
[-1.25 -3.75],[1.8036757],[905.43297802],6.821127812138533e-05,0.0,6.821127812138533e-05
[-4.25  1.25],[-4.0035653],[276.64423865],6.886179092898686e-05,0.0,6.886179092898686e-05
[4.75 2.75],[-1.4377289],[-24.9789202],6.810628377745037e-05,0.0,6.810628377745037e-05
[-1.75 -4.25],[2.0362778],[443.19257299],6.827315139273696e-05,0.0,6.827315139273696e-05
[-2.75 -2.25],[-0.19958818],[521.17132602],6.801106233951423e-05,0.0,6.801106233951423e-05
[ 3.52499056 -3.6343751 ],[3.7774205],[49.29413605],6.886338551846667e-05,0.0,6.886338551846667e-05
[ 3.37499094 -4.02726126],[4.0658855],[4.81139803],6.899119550742477e-05,0.0,6.899119550742477e-05
[ 3.24766874 -4.42767048],[4.370992],[146.89352417],6.91415934643931e-05,0.0,6.91415934643931e-05
[ 3.1565237  -4.72755861],[4.6013365],[181.27983093],6.926242085226603e-05,0.0,6.926242085226603e-05
[ 3.06885052 -4.97649908],[4.78732],[187.51480103],6.936309062737135e-05,-0.65387726,-0.6538772583007812
[ 2.87333918 -4.95046663],[4.6788044],[29.17059708],6.930544035542178e-05,0.0,6.930544035542178e-05
[-1.1548655   3.58940744],[-4.763012],[-6.49018812],6.922979176507605e-05,0.0,6.922979176507605e-05
[-1.37331212  3.74518061],[-4.998321],[29.49910736],6.935533369308814e-05,0.0,6.935533369308814e-05
