x,z,p,acqf,penalty,pacqf
[1.25 1.75],[-0.4829015],[3.82321173],2.859444646996401e-12,0.0,2.859444646996401e-12
[-0.75  3.25],[-2.6045265],[14.79772188],2.7775074452365504e-09,0.0,2.7775074452365504e-09
[-3.25  1.25],[-1.6436867],[88.40733861],7.6044015701834e-11,0.0,7.6044015701834e-11
[-0.25 -0.25],[0.8394854],[-5.14470127],1.2622437616819673e-12,0.0,1.2622437616819673e-12
[ 3.25 -0.75],[2.5710773],[42.14965627],4.244114288969261e-11,0.0,4.244114288969261e-11
[-3.75 -3.25],[2.371132],[217.21658794],2.3927138007728007e-11,0.0,2.3927138007728007e-11
[-4.75 -4.25],[2.9419386],[311.46732571],1.2972477865978053e-10,0.0,1.2972477865978053e-10
[ 0.75 -4.75],[5.3966246],[-17.16746961],1.9769362507847796e-07,0.0,1.9769362507847796e-07
[-1.25  4.25],[-3.7176538],[32.09821999],1.7516825549322053e-07,0.0,1.7516825549322053e-07
[ 4.75 -1.25],[3.5795746],[111.92699089],9.568268159337073e-10,0.0,9.568268159337073e-10
[-2.75  0.75],[-0.9967361],[52.51632032],9.715729406194798e-12,0.0,9.715729406194798e-12
[2.25 2.75],[-1.0537082],[74.74356788],1.1412013008243772e-11,0.0,1.1412013008243772e-11
[ 3.75 -1.75],[3.6842046],[38.56401584],1.3297482148615842e-09,0.0,1.3297482148615842e-09
[4.25 3.75],[-1.262968],[229.46049535],2.1390320951132038e-11,0.0,2.1390320951132038e-11
[-4.25 -2.75],[1.7241815],[223.63212734],4.715467787039415e-12,0.0,4.715467787039415e-12
[0.25 2.25],[-1.3106254],[19.4202158],2.4867041051633456e-11,0.0,2.4867041051633456e-11
[-2.25 -3.75],[3.3796296],[131.93641577],5.094435436425611e-10,0.0,5.094435436425611e-10
[2.75 0.25],[1.4579499],[41.76442314],2.7829294140254166e-12,0.0,2.7829294140254166e-12
[ 1.75 -2.25],[3.427287],[-31.85818895],5.920534931391474e-10,0.0,5.920534931391474e-10
[-1.75  4.75],[-4.364604],[61.35494516],1.5105961379845672e-06,0.0,1.5105961379845672e-06
[-1.67040503  4.68954802],[-4.2794647],[54.58261871],1.1533703895373116e-06,0.0,1.1533703895373116e-06
[-2.0452702   4.54765844],[-4.2827044],[45.91280365],1.165370786415133e-06,0.0,1.165370786415133e-06
[-1.23860765  4.85298681],[-4.275732],[26.28900528],1.1396962010483378e-06,0.0,1.1396962010483378e-06
[-0.32676831  1.10966814],[-0.4559617],[-15.58168888],2.7157101440840766e-12,0.0,2.7157101440840766e-12
[1.05338788 1.67095327],[-0.48028657],[25.49725151],2.84483857058127e-12,0.0,2.84483857058127e-12
[-1.73849547  0.53554368],[-0.43108046],[29.48817825],2.592524360695019e-12,0.0,2.592524360695019e-12
[-1.83668959  4.9987936 ],[-4.6279106],[51.20236206],3.3865846324872913e-06,0.0,3.3865846324872913e-06
[-2.26233768  4.83373642],[-4.6279106],[58.7253685],3.3865846324872913e-06,0.0,3.3865846324872913e-06
[-2.20679331  4.85527515],[-4.6279106],[70.5178833],3.3866224206823917e-06,0.0,3.3866224206823917e-06
