,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-11.2230464],"[-5.000000000000, 5.000000000000]",-1107.882748,penalty,0.071009
1,[-11.1876024],"[-4.974937343358, 4.974937343358]",-1102.870216,penalty,0.071009
2,[-11.1521585],"[-4.949874686717, 4.949874686717]",-1097.857685,penalty,0.071009
3,[-11.1167145],"[-4.924812030075, 4.924812030075]",-1092.845154,penalty,0.071009
4,[-11.0812706],"[-4.899749373434, 4.899749373434]",-1087.832622,penalty,0.071009
5,[-11.0458266],"[-4.874686716792, 4.874686716792]",-1082.820091,penalty,0.071009
6,[-11.0103827],"[-4.849624060150, 4.849624060150]",-1077.807560,penalty,0.071009
7,[-10.9749387],"[-4.824561403509, 4.824561403509]",-1072.795028,penalty,0.071009
8,[-10.9394948],"[-4.799498746867, 4.799498746867]",-1067.782497,penalty,0.071009
9,[-10.9040508],"[-4.774436090226, 4.774436090226]",-1062.769966,penalty,0.071009
10,[-10.8686069],"[-4.749373433584, 4.749373433584]",-1057.757434,penalty,0.071009
11,[-10.8331629],"[-4.724310776942, 4.724310776942]",-1052.744903,penalty,0.071009
12,[-10.7977190],"[-4.699248120301, 4.699248120301]",-1047.732372,penalty,0.071009
13,[-10.7622750],"[-4.674185463659, 4.674185463659]",-1042.719840,penalty,0.071009
14,[-10.7268311],"[-4.649122807018, 4.649122807018]",-1037.707309,penalty,0.071009
15,[-10.6913871],"[-4.624060150376, 4.624060150376]",-1032.694778,penalty,0.071009
16,[-10.6559432],"[-4.598997493734, 4.598997493734]",-1027.682246,penalty,0.071009
17,[-10.6204992],"[-4.573934837093, 4.573934837093]",-1022.669715,penalty,0.071009
18,[-10.5850553],"[-4.548872180451, 4.548872180451]",-1017.657184,penalty,0.071009
19,[-10.5496113],"[-4.523809523810, 4.523809523810]",-1012.644652,penalty,0.071009
20,[-10.5141674],"[-4.498746867168, 4.498746867168]",-1007.632121,penalty,0.071009
21,[-10.4787234],"[-4.473684210526, 4.473684210526]",-1002.619590,penalty,0.071009
22,[-10.4432795],"[-4.448621553885, 4.448621553885]",-997.607058,penalty,0.071009
23,[-10.4078355],"[-4.423558897243, 4.423558897243]",-992.594527,penalty,0.071009
24,[-10.3723916],"[-4.398496240602, 4.398496240601]",-987.581996,penalty,0.071009
25,[-10.3369476],"[-4.373433583960, 4.373433583960]",-982.569464,penalty,0.071009
26,[-10.3015037],"[-4.348370927318, 4.348370927318]",-977.556933,penalty,0.071009
27,[-10.2660597],"[-4.323308270677, 4.323308270677]",-972.544402,penalty,0.071009
28,[-10.2306158],"[-4.298245614035, 4.298245614035]",-967.531870,penalty,0.071009
29,[-10.1951718],"[-4.273182957393, 4.273182957393]",-962.519339,penalty,0.071009
30,[-10.1597279],"[-4.248120300752, 4.248120300752]",-957.506808,penalty,0.071009
31,[-10.1242839],"[-4.223057644110, 4.223057644110]",-952.494276,penalty,0.071009
32,[-10.0888400],"[-4.197994987469, 4.197994987469]",-947.481745,penalty,0.071009
33,[-10.0533960],"[-4.172932330827, 4.172932330827]",-942.469214,penalty,0.071009
34,[-10.0179521],"[-4.147869674185, 4.147869674185]",-937.456682,penalty,0.071009
35,[-9.9825081],"[-4.122807017544, 4.122807017544]",-932.444151,penalty,0.071009
36,[-9.9470642],"[-4.097744360902, 4.097744360902]",-927.431620,penalty,0.071009
37,[-9.9116203],"[-4.072681704261, 4.072681704261]",-922.419088,penalty,0.071009
38,[-9.8761763],"[-4.047619047619, 4.047619047619]",-917.406557,penalty,0.071009
39,[-9.8407324],"[-4.022556390977, 4.022556390977]",-912.394026,penalty,0.071009
40,[-9.8052884],"[-3.997493734336, 3.997493734336]",-907.381494,penalty,0.071009
41,[-9.7698445],"[-3.972431077694, 3.972431077694]",-902.368963,penalty,0.071009
42,[-9.7344005],"[-3.947368421053, 3.947368421053]",-897.356432,penalty,0.071009
43,[-9.6989566],"[-3.922305764411, 3.922305764411]",-892.343900,penalty,0.071009
44,[-9.6635126],"[-3.897243107769, 3.897243107769]",-887.331369,penalty,0.071009
45,[-9.6280687],"[-3.872180451128, 3.872180451128]",-882.318838,penalty,0.071009
46,[-9.5926247],"[-3.847117794486, 3.847117794486]",-877.306307,penalty,0.071009
47,[-9.5571808],"[-3.822055137845, 3.822055137845]",-872.293775,penalty,0.071009
48,[-9.5217368],"[-3.796992481203, 3.796992481203]",-867.281244,penalty,0.071009
49,[-9.4862929],"[-3.771929824561, 3.771929824561]",-862.268713,penalty,0.071009
50,[-9.4508489],"[-3.746867167920, 3.746867167920]",-857.256181,penalty,0.071009
51,[-9.4154050],"[-3.721804511278, 3.721804511278]",-852.243650,penalty,0.071009
52,[-9.3799610],"[-3.696741854637, 3.696741854637]",-847.231119,penalty,0.071009
53,[-9.3445171],"[-3.671679197995, 3.671679197995]",-842.218587,penalty,0.071009
54,[-9.3090731],"[-3.646616541353, 3.646616541353]",-837.206056,penalty,0.071009
55,[-9.2736292],"[-3.621553884712, 3.621553884712]",-832.193525,penalty,0.071009
56,[-9.2381852],"[-3.596491228070, 3.596491228070]",-827.180993,penalty,0.071009
57,[-9.2027413],"[-3.571428571429, 3.571428571429]",-822.168462,penalty,0.071009
58,[-9.1672973],"[-3.546365914787, 3.546365914787]",-817.155931,penalty,0.071009
59,[-9.1318534],"[-3.521303258145, 3.521303258145]",-812.143399,penalty,0.071009
60,[-9.0964094],"[-3.496240601504, 3.496240601504]",-807.130868,penalty,0.071009
61,[-9.0609655],"[-3.471177944862, 3.471177944862]",-802.118337,penalty,0.071009
62,[-9.0255215],"[-3.446115288221, 3.446115288221]",-797.105805,penalty,0.071009
63,[-8.9900776],"[-3.421052631579, 3.421052631579]",-792.093274,penalty,0.071009
64,[-8.9546336],"[-3.395989974937, 3.395989974937]",-787.080742,penalty,0.071009
65,[-8.9191897],"[-3.370927318296, 3.370927318296]",-782.068211,penalty,0.071008
66,[-8.8837457],"[-3.345864661654, 3.345864661654]",-777.055680,penalty,0.071008
67,[-8.8483018],"[-3.320802005013, 3.320802005013]",-772.043148,penalty,0.071008
68,[-8.8128578],"[-3.295739348371, 3.295739348371]",-767.030617,penalty,0.071008
69,[-8.7774139],"[-3.270676691729, 3.270676691729]",-762.018086,penalty,0.071008
70,[-8.7419699],"[-3.245614035088, 3.245614035088]",-757.005554,penalty,0.071008
71,[-8.7065260],"[-3.220551378446, 3.220551378446]",-751.993023,penalty,0.071008
72,[-8.6710820],"[-3.195488721805, 3.195488721805]",-746.980492,penalty,0.071008
73,[-8.6356381],"[-3.170426065163, 3.170426065163]",-741.967960,penalty,0.071008
74,[-8.6001941],"[-3.145363408521, 3.145363408521]",-736.955429,penalty,0.071008
75,[-8.5647502],"[-3.120300751880, 3.120300751880]",-731.942898,penalty,0.071008
76,[-8.5293062],"[-3.095238095238, 3.095238095238]",-726.930366,penalty,0.071008
77,[-8.4938623],"[-3.070175438596, 3.070175438596]",-721.917835,penalty,0.071008
78,[-8.4584183],"[-3.045112781955, 3.045112781955]",-716.905303,penalty,0.071008
79,[-8.4229744],"[-3.020050125313, 3.020050125313]",-711.892772,penalty,0.071008
80,[-8.3875304],"[-2.994987468672, 2.994987468672]",-706.880240,penalty,0.071008
81,[-8.3520865],"[-2.969924812030, 2.969924812030]",-701.867709,penalty,0.071008
82,[-8.3166425],"[-2.944862155388, 2.944862155388]",-696.855178,penalty,0.071008
83,[-8.2811986],"[-2.919799498747, 2.919799498747]",-691.842646,penalty,0.071007
84,[-8.2457547],"[-2.894736842105, 2.894736842105]",-686.830115,penalty,0.071007
85,[-8.2103107],"[-2.869674185464, 2.869674185464]",-681.817583,penalty,0.071007
86,[-8.1748668],"[-2.844611528822, 2.844611528822]",-676.805052,penalty,0.071007
87,[-8.1394228],"[-2.819548872180, 2.819548872180]",-671.792520,penalty,0.071007
88,[-8.1039789],"[-2.794486215539, 2.794486215539]",-666.779988,penalty,0.071006
