,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-3.3065974],"[5.000000000000, -5.000000000000]",-305.785650,penalty,0.801407
1,[-3.2711535],"[4.974937343358, -4.974937343358]",-300.773480,penalty,0.801769
2,[-3.2357095],"[4.949874686717, -4.949874686717]",-295.761359,penalty,0.802180
3,[-3.2002656],"[4.924812030075, -4.924812030075]",-290.749294,penalty,0.802646
4,[-3.1648216],"[4.899749373434, -4.899749373434]",-285.737291,penalty,0.803175
5,[-3.1293777],"[4.874686716792, -4.874686716792]",-280.725360,penalty,0.803774
6,[-3.0939337],"[4.849624060150, -4.849624060150]",-275.713507,penalty,0.804453
7,[-3.0584898],"[4.824561403509, -4.824561403509]",-270.701745,penalty,0.805222
8,[-3.0230459],"[4.799498746867, -4.799498746867]",-265.690083,penalty,0.806091
9,[-2.9876019],"[4.774436090226, -4.774436090226]",-260.678533,penalty,0.807073
10,[-2.9521580],"[4.749373433584, -4.749373433584]",-255.667110,penalty,0.808181
11,[-2.9167140],"[4.724310776942, -4.724310776942]",-250.655828,penalty,0.809430
12,[-2.8812701],"[4.699248120301, -4.699248120301]",-245.644703,penalty,0.810837
13,[-2.8458261],"[4.674185463659, -4.674185463659]",-240.633754,penalty,0.812419
14,[-2.8103822],"[4.649122807018, -4.649122807018]",-235.622999,penalty,0.814196
15,[-2.7749382],"[4.624060150376, -4.624060150376]",-230.612461,penalty,0.816189
16,[-2.7394943],"[4.598997493734, -4.598997493734]",-225.602161,penalty,0.818420
17,[-2.7040503],"[4.573934837093, -4.573934837093]",-220.592124,penalty,0.820915
18,[-2.6686064],"[4.548872180451, -4.548872180451]",-215.582377,penalty,0.823698
19,[-2.6331624],"[4.523809523810, -4.523809523810]",-210.572945,penalty,0.826798
20,[-2.5977185],"[4.498746867168, -4.498746867168]",-205.563859,penalty,0.830243
21,[-2.5622745],"[4.473684210526, -4.473684210526]",-200.555146,penalty,0.834062
22,[-2.5268306],"[4.448621553885, -4.448621553885]",-195.546838,penalty,0.838285
23,[-2.4913866],"[4.423558897243, -4.423558897243]",-190.538963,penalty,0.842942
24,[-2.4559427],"[4.398496240602, -4.398496240602]",-185.531550,penalty,0.848060
25,[-2.4204987],"[4.373433583960, -4.373433583960]",-180.524627,penalty,0.853668
26,[-2.3850548],"[4.348370927318, -4.348370927318]",-175.518216,penalty,0.859788
27,[-2.3496108],"[4.323308270677, -4.323308270677]",-170.512336,penalty,0.866440
28,[-2.3141669],"[4.298245614035, -4.298245614035]",-165.507002,penalty,0.873637
29,[-2.2787229],"[4.273182957393, -4.273182957393]",-160.502216,penalty,0.881383
30,[-2.2432790],"[4.248120300752, -4.248120300752]",-155.497974,penalty,0.889672
31,[-2.2078350],"[4.223057644110, -4.223057644110]",-150.494254,penalty,0.898484
32,[-2.1723911],"[4.197994987469, -4.197994987469]",-145.491022,penalty,0.907782
33,[-2.1369471],"[4.172932330827, -4.172932330827]",-140.488218,penalty,0.917509
34,[-2.1015032],"[4.147869674185, -4.147869674185]",-135.485761,penalty,0.927584
35,[-2.0660592],"[4.122807017544, -4.122807017544]",-130.483538,penalty,0.937893
36,[-2.0306153],"[4.097744360902, -4.097744360902]",-125.481404,penalty,0.948290
37,[-1.9951713],"[4.072681704261, -4.072681704261]",-120.479169,penalty,0.958586
38,[-1.9597274],"[4.047619047619, -4.047619047619]",-115.476599,penalty,0.968547
39,[-1.9242834],"[4.022556390977, -4.022556390977]",-110.473401,penalty,0.977881
40,[-1.8888395],"[3.997493734336, -3.997493734336]",-105.469219,penalty,0.986230
41,[-1.8533955],"[3.972431077694, -3.972431077694]",-100.463620,penalty,0.993162
42,[-1.8179516],"[3.947368421053, -3.947368421053]",-95.456084,penalty,0.998158
43,[-1.7825076],"[3.922305764411, -3.922305764411]",-90.445984,penalty,1.000590
44,[-1.7470637],"[3.897243107769, -3.897243107769]",-85.432569,penalty,0.999706
45,[-1.7116197],"[3.872180451128, -3.872180451128]",-80.414933,penalty,0.994600
46,[-1.6761758],"[3.847117794486, -3.847117794486]",-75.391977,penalty,0.984176
47,[-1.6407318],"[3.822055137845, -3.822055137845]",-70.362362,penalty,0.967092
48,[-1.6052879],"[3.796992481203, -3.796992481203]",-65.324428,penalty,0.941689
49,[-1.5698439],"[3.771929824561, -3.771929824561]",-60.276090,penalty,0.905883
50,[-1.5344000],"[3.746867167920, -3.746867167920]",-55.214669,penalty,0.856993
51,[-1.4989560],"[3.721804511278, -3.721804511278]",-50.136638,penalty,0.791494
52,[-1.4635121],"[3.696741854637, -3.696741854637]",-45.037202,penalty,0.704589
53,[-1.4280681],"[3.671679197995, -3.671679197995]",-39.909589,penalty,0.589508
54,[-1.3926242],"[3.646616541353, -3.646616541353]",-34.743778,penalty,0.436227
55,[-1.3571803],"[3.621553884712, -3.621553884712]",-29.524041,penalty,0.229022
56,[-1.3217363],"[3.596491228070, -3.596491228070]",-24.223790,penalty,-0.058698
57,[-1.2862924],"[3.571428571429, -3.571428571429]",-18.793420,penalty,-0.476536
58,[-1.2508484],"[3.546365914787, -3.546365914787]",-13.126912,penalty,-1.130513
59,[-1.2154045],"[3.521303258145, -3.521303258145]",-6.947697,penalty,-2.297197
60,[-1.1799605],"[3.496240601504, -3.496240601504]",0.000000,no penalty,-4.962732
61,[-1.1445166],"[3.471177944862, -3.471177944862]",0.000000,no penalty,-14.492021
62,[-1.1090726],"[3.446115288221, -3.446115288221]",0.000000,no penalty,-20.845240
63,[-1.0736287],"[3.421052631579, -3.421052631579]",0.000000,no penalty,-6.891146
64,[-1.0381847],"[3.395989974937, -3.395989974937]",0.000000,no penalty,-3.322468
65,[-1.0027408],"[3.370927318296, -3.370927318296]",0.000000,no penalty,-2.031974
66,[-0.9672968],"[3.345864661654, -3.345864661654]",0.000000,no penalty,-1.466817
67,[-0.9318529],"[3.320802005013, -3.320802005013]",0.000000,no penalty,-1.253191
68,[-0.8964089],"[3.295739348371, -3.295739348371]",0.000000,no penalty,-1.279291
69,[-0.8609650],"[3.270676691729, -3.270676691729]",0.000000,no penalty,-1.530864
70,[-0.8255210],"[3.245614035088, -3.245614035088]",0.000000,no penalty,-2.067747
71,[-0.7900771],"[3.220551378446, -3.220551378446]",0.000000,no penalty,-3.071618
72,[-0.7546331],"[3.195488721805, -3.195488721805]",0.000000,no penalty,-5.036888
73,[-0.7191892],"[3.170426065163, -3.170426065163]",0.000000,no penalty,-9.405384
74,[-0.6837452],"[3.145363408521, -3.145363408521]",0.000000,no penalty,-18.949601
75,[-0.6483013],"[3.120300751880, -3.120300751880]",0.000000,no penalty,-24.677515
76,[-0.6128573],"[3.095238095238, -3.095238095238]",0.000000,no penalty,-20.028586
77,[-0.5774134],"[3.070175438596, -3.070175438596]",0.000000,no penalty,-18.249236
78,[-0.5419694],"[3.045112781955, -3.045112781955]",0.000000,no penalty,-20.787606
79,[-0.5065255],"[3.020050125313, -3.020050125313]",0.000000,no penalty,-25.992362
80,[-0.4710815],"[2.994987468672, -2.994987468672]",0.000000,no penalty,-29.391555
81,[-0.4356376],"[2.969924812030, -2.969924812030]",0.000000,no penalty,-31.919127
82,[-0.4001936],"[2.944862155388, -2.944862155388]",0.000000,no penalty,-36.926041
83,[-0.3647497],"[2.919799498747, -2.919799498747]",0.000000,no penalty,-34.492453
84,[-0.3293057],"[2.894736842105, -2.894736842105]",0.000000,no penalty,-21.080730
85,[-0.2938618],"[2.869674185464, -2.869674185464]",0.000000,no penalty,-12.243468
86,[-0.2584178],"[2.844611528822, -2.844611528822]",0.000000,no penalty,-8.085243
87,[-0.2229739],"[2.819548872180, -2.819548872180]",0.000000,no penalty,-6.077879
88,[-0.1875299],"[2.794486215539, -2.794486215539]",0.000000,no penalty,-5.116651
89,[-0.1520860],"[2.769423558897, -2.769423558897]",0.000000,no penalty,-4.785529
90,[-0.1166420],"[2.744360902256, -2.744360902256]",0.000000,no penalty,-4.962305
91,[-0.0811981],"[2.719298245614, -2.719298245614]",0.000000,no penalty,-5.710750
92,[-0.0457541],"[2.694235588972, -2.694235588972]",0.000000,no penalty,-7.314629
93,[-0.0103102],"[2.669172932331, -2.669172932331]",0.000000,no penalty,-10.271230
94,[0.0251338],"[2.644110275689, -2.644110275689]",0.000000,no penalty,-13.259745
95,[0.0605777],"[2.619047619048, -2.619047619048]",0.000000,no penalty,-10.157659
96,[0.0960217],"[2.593984962406, -2.593984962406]",0.000000,no penalty,-5.590413
97,[0.1314656],"[2.568922305764, -2.568922305764]",0.000000,no penalty,-3.206233
98,[0.1669096],"[2.543859649123, -2.543859649123]",0.000000,no penalty,-1.956614
99,[0.2023535],"[2.518796992481, -2.518796992481]",0.000000,no penalty,-1.160291
100,[0.2377975],"[2.493734335840, -2.493734335840]",0.000000,no penalty,-0.799721
101,[0.2732414],"[2.468671679198, -2.468671679198]",0.000000,no penalty,-1.202634
102,[0.3086853],"[2.443609022556, -2.443609022556]",0.000000,no penalty,-2.330250
