x,z,p,acqf,penalty,pacqf
[1.75 0.75],[-0.664653],[44.16009295],3.625988704284241e-10,0.0,3.625988704284241e-10
[1.25 1.25],[0.04242766],[64.85668238],3.6258641030533586e-10,0.0,3.6258641030533586e-10
[ 0.25 -4.25],[-3.0998855],[44.05304548],3.631833608954521e-10,0.0,3.631833608954521e-10
[-0.75 -2.25],[-0.9847282],[41.21467136],3.6266941886428076e-10,0.0,3.6266941886428076e-10
[-4.75  2.75],[5.372913],[48.23687013],3.6402875695077625e-10,0.0,3.6402875695077625e-10
[ 4.75 -2.75],[-5.257635],[61.77985015],3.6425283529939753e-10,0.0,3.6425283529939753e-10
[-0.25  4.25],[3.2151635],[104.91963133],3.6307418133633693e-10,0.0,3.6307418133633693e-10
[-1.75 -4.75],[-2.024053],[116.90327225],3.6280140491176044e-10,0.0,3.6280140491176044e-10
[-3.25  4.75],[5.7051573],[78.5567906],3.642464004872975e-10,0.0,3.642464004872975e-10
[-2.75 -3.25],[-0.2593937],[99.33922711],3.625648069352274e-10,0.0,3.625648069352274e-10
[-1.25 -1.75],[-0.2776475],[57.96199665],3.625679217479539e-10,0.0,3.625679217479539e-10
[ 3.25 -3.75],[-4.888883],[62.19307391],3.639862307821227e-10,0.0,3.639862307821227e-10
[-3.75  3.75],[5.3607435],[65.34158783],3.640454188015849e-10,0.0,3.640454188015849e-10
[0.75 2.25],[1.1000062],[73.91928136],3.626125170166156e-10,0.0,3.626125170166156e-10
[3.75 0.25],[-2.4414814],[67.97802701],3.6296523832120674e-10,0.0,3.6296523832120674e-10
[ 2.75 -0.25],[-2.0788143],[55.4881292],3.6283339794806504e-10,0.0,3.6283339794806504e-10
[2.25 3.25],[0.73125446],[144.9280161],3.625585773881068e-10,0.0,3.625585773881068e-10
[-4.25 -1.25],[2.2123463],[81.92763502],3.6276483012875403e-10,0.0,3.6276483012875403e-10
[-2.25 -0.75],[1.1365138],[62.49559198],3.6263514817284023e-10,0.0,3.6263514817284023e-10
[4.25 1.75],[-1.74657],[151.10988272],3.627982881811556e-10,0.0,3.627982881811556e-10
[ 3.52653933 -3.57401514],[-4.962736],[48.80313492],3.6407056663471987e-10,0.0,3.6407056663471987e-10
[ 4.04343462 -3.04814672],[-4.962736],[47.50691223],3.6407056663471987e-10,0.0,3.6407056663471987e-10
[ 2.97301388 -4.13714981],[-4.962736],[65.92992401],3.6407056663471987e-10,0.0,3.6407056663471987e-10
