x,z,p,acqf,penalty,pacqf
[-4.75  1.25],[-6.353061],[325.38699143],1.1773306059703265e-08,0.0,1.1773306059703265e-08
[4.75 4.75],[3.7133608],[332.49664656],5.410807527216287e-07,-5.55387,-5.55387020111084
[1.75 2.75],[0.31653064],[329.30042999],3.3167622381619564e-10,0.0,3.3167622381619564e-10
[-2.25 -2.25],[-4.7809815],[325.74437559],5.331094617094727e-10,0.0,5.331094617094727e-10
[ 2.75 -0.25],[0.55559874],[313.23475333],2.773476114619325e-10,0.0,2.773476114619325e-10
[-3.25  3.75],[-4.2892423],[349.75466596],5.175552186045553e-10,0.0,5.175552186045553e-10
[-4.25  2.25],[-5.6245213],[312.95042897],1.0994212491390151e-11,0.0,1.0994212491390151e-11
[4.25 3.25],[2.8630197],[313.14913803],6.69125650837417e-11,0.0,6.69125650837417e-11
[3.25 0.25],[1.1623374],[320.26802123],9.909409582194716e-10,0.0,9.909409582194716e-10
[2.25 1.75],[0.55786586],[321.55382681],2.775645131417646e-10,0.0,2.775645131417646e-10
[-1.75  0.75],[-3.5652366],[318.55181062],4.850765845922897e-10,0.0,4.850765845922897e-10
[ 1.25 -4.25],[-1.8736231],[327.57433945],1.0860047964558313e-08,0.0,1.0860047964558313e-08
[ 0.75 -1.25],[-1.6277539],[330.88590491],1.3028997291425444e-08,0.0,1.3028997291425444e-08
[ 3.75 -2.75],[0.91646796],[328.16751422],4.898992150750612e-10,0.0,4.898992150750612e-10
[-1.25 -1.75],[-3.689305],[350.06194007],4.29875497091958e-10,0.0,4.29875497091958e-10
[-2.75 -3.25],[-5.5095215],[331.43551697],2.01361547700093e-11,0.0,2.01361547700093e-11
[-0.75 -4.75],[-3.9351745],[315.41062057],4.0814534094250955e-10,0.0,4.0814534094250955e-10
[-3.75 -0.75],[-5.8703904],[331.23737409],1.0062080316122197e-11,0.0,1.0062080316122197e-11
[ 0.25 -3.75],[-2.7216973],[340.6501053],2.7862595762112093e-09,0.0,2.7862595762112093e-09
[-0.25  4.25],[-1.257816],[331.3411522],1.4094471917251122e-08,0.0,1.4094471917251122e-08
[4.9949913  0.60721171],[2.941779],[334.52453613],5.726634564905393e-11,0.0,5.726634564905393e-11
[4.9618659  0.88870084],[2.9782226],[320.8609314],5.881481131395138e-11,0.0,5.881481131395138e-11
[4.77898645 2.44274521],[3.1794214],[348.00213623],2.2040251308696735e-10,-0.37532806,-0.37532806396484375
[-4.30898809 -0.51573557],[-6.3554716],[336.55023193],1.2359200334353052e-08,0.0,1.2359200334353052e-08
[-4.52933407  1.05691385],[-6.186079],[324.30932617],4.527514582675814e-10,0.0,4.527514582675814e-10
[-4.00540733 -2.68244624],[-6.588852],[318.76031494],1.0564584239427733e-06,0.0,1.0564584239427733e-06
[4.94571161 1.15537417],[3.0275173],[317.4133606],6.77988631955885e-11,0.0,6.77988631955885e-11
[4.91200924 1.30693412],[3.0317507],[317.34686279],6.902594940020486e-11,0.0,6.902594940020486e-11
[4.84990311 1.58622551],[3.0395515],[320.75488281],7.151224119757755e-11,0.0,7.151224119757755e-11
[4.97886086 1.23265195],[3.078493],[317.26306152],8.929893043593647e-11,0.0,8.929893043593647e-11
[4.87960243 1.65808499],[3.0858612],[323.78146362],9.393538212146405e-11,0.0,9.393538212146405e-11
[4.87998343 1.65645278],[3.085833],[323.70751953],9.39060498115879e-11,0.0,9.39060498115879e-11
[4.99752903 1.30177474],[3.1134372],[317.51599121],1.1606040027938322e-10,0.0,1.1606040027938322e-10
[4.98379755 1.35839427],[3.113912],[317.85821533],1.165145641662691e-10,0.0,1.165145641662691e-10
[4.81984711 2.03440547],[3.1195786],[347.94442749],1.222198711312845e-10,0.0,1.222198711312845e-10
[-3.49701166 -0.73121727],[-5.6204476],[316.73880005],1.1187514292740395e-11,0.0,1.1187514292740395e-11
[-3.45011616 -0.92561585],[-5.622321],[314.60101318],1.1098176944399118e-11,0.0,1.1098176944399118e-11
[-3.64920473 -0.10032272],[-5.614369],[333.2381897],1.1493863828727847e-11,0.0,1.1493863828727847e-11
[-3.78117752 -0.79256654],[-5.910998],[330.32693481],1.2663939013421166e-11,0.0,1.2663939013421166e-11
[-3.74269724 -0.95138437],[-5.9123654],[329.65219116],1.2781088904447185e-11,0.0,1.2781088904447185e-11
[-3.59251332 -1.5712328 ],[-5.917702],[316.0428772],1.3257285389872884e-11,0.0,1.3257285389872884e-11
