x,z,p,acqf,penalty,pacqf
[-4.75  1.25],[-6.311275],[325.38699143],1.292962642164141e-08,0.0,1.292962642164141e-08
[4.75 4.75],[3.7566428],[332.49664656],5.175253692855534e-07,-5.551629,-5.551629066467285
[1.75 2.75],[0.35813096],[329.30042999],1.0836864964449726e-07,0.0,1.0836864964449726e-07
[-2.25 -2.25],[-4.744776],[325.74437559],1.0199186668967097e-09,0.0,1.0199186668967097e-09
[ 2.75 -0.25],[0.5928054],[313.23475333],1.265240235194143e-07,0.0,1.265240235194143e-07
[-3.25  3.75],[-4.2445893],[349.75466596],6.741817156423295e-10,0.0,6.741817156423295e-10
[-4.25  2.25],[-5.5815544],[312.95042897],2.0524241434607304e-11,0.0,2.0524241434607304e-11
[4.25 3.25],[2.904445],[313.14913803],6.744416938769809e-11,0.0,6.744416938769809e-11
[3.25 0.25],[1.2000494],[320.26802123],2.3905317740511224e-07,0.0,2.3905317740511224e-07
[2.25 1.75],[0.5979449],[321.55382681],1.2724086413887338e-07,0.0,1.2724086413887338e-07
[-1.75  0.75],[-3.5251477],[318.55181062],3.59962248804178e-10,0.0,3.59962248804178e-10
[ 1.25 -4.25],[-1.8413107],[327.57433945],1.1833748107824852e-08,0.0,1.1833748107824852e-08
[ 0.75 -1.25],[-1.5912179],[330.88590491],2.2590379177939335e-08,0.0,2.2590379177939335e-08
[ 3.75 -2.75],[0.9499564],[328.16751422],2.007513689333276e-07,0.0,2.007513689333276e-07
[-1.25 -1.75],[-3.6527638],[350.06194007],3.4446649434726294e-10,0.0,3.4446649434726294e-10
[-2.75 -3.25],[-5.4744964],[331.43551697],3.954409328666247e-11,0.0,3.954409328666247e-11
[-0.75 -4.75],[-3.9028568],[315.41062057],3.9676927413805913e-10,0.0,3.9676927413805913e-10
[-3.75 -0.75],[-5.8316474],[331.23737409],1.4006674374161398e-11,0.0,1.4006674374161398e-11
[ 0.25 -3.75],[-2.6883688],[340.6501053],1.6332460176441257e-09,0.0,1.6332460176441257e-09
[-0.25  4.25],[-1.2135084],[331.3411522],6.113140600877559e-08,0.0,6.113140600877559e-08
[4.9949913  0.60721171],[2.9793797],[334.52453613],4.8872831331864436e-11,0.0,4.8872831331864436e-11
[4.9618659  0.88870084],[3.0162153],[320.8609314],4.6545443482941804e-11,0.0,4.6545443482941804e-11
[4.77898645 2.44274521],[3.219576],[348.00213623],1.4454448005740375e-10,-0.34457684,-0.3445768356323242
[-4.30898809 -0.51573557],[-6.316222],[336.55023193],1.4295367585490997e-08,0.0,1.4295367585490997e-08
[-4.52933407  1.05691385],[-6.1446295],[324.30932617],4.972516028599242e-10,0.0,4.972516028599242e-10
[-4.00540733 -2.68244624],[-6.5526333],[318.76031494],1.3420428479503387e-06,0.0,1.3420428479503387e-06
[4.94571161 1.15537417],[3.0658758],[317.4133606],4.936336420535246e-11,0.0,4.936336420535246e-11
[4.91200924 1.30693412],[3.0703254],[317.34686279],4.998038514326361e-11,0.0,4.998038514326361e-11
[4.84990311 1.58622551],[3.0785246],[320.75488281],5.127419662119983e-11,0.0,5.127419662119983e-11
[4.97886086 1.23265195],[3.1169446],[317.26306152],6.102411508345998e-11,0.0,6.102411508345998e-11
[4.87960243 1.65808499],[3.1249216],[323.78146362],6.395682522294523e-11,0.0,6.395682522294523e-11
[4.87998343 1.65645278],[3.124891],[323.70751953],6.394489311291349e-11,0.0,6.394489311291349e-11
[4.99752903 1.30177474],[3.1519759],[317.51599121],7.697584654844905e-11,0.0,7.697584654844905e-11
[4.98379755 1.35839427],[3.1525316],[317.85821533],7.72952986002811e-11,0.0,7.72952986002811e-11
[4.81984711 2.03440547],[3.1591675],[347.94442749],8.139982146873802e-11,0.0,8.139982146873802e-11
[-3.49701166 -0.73121727],[-5.5817657],[316.73880005],2.0499646552675165e-11,0.0,2.0499646552675165e-11
[-3.45011616 -0.92561585],[-5.5839176],[314.60101318],2.0267983867852654e-11,0.0,2.0267983867852654e-11
[-3.64920473 -0.10032272],[-5.5747824],[333.2381897],2.1291317158045286e-11,0.0,2.1291317158045286e-11
[-3.78117752 -0.79256654],[-5.8723016],[330.32693481],1.691932493799225e-11,0.0,1.691932493799225e-11
[-3.74269724 -0.95138437],[-5.873897],[329.65219116],1.707327087734742e-11,0.0,1.707327087734742e-11
[-3.59251332 -1.5712328 ],[-5.8801227],[316.0428772],1.7717149887991425e-11,0.0,1.7717149887991425e-11
[-4.22342443 -1.01853502],[-6.356427],[327.45709229],3.228427478931157e-08,0.0,3.228427478931157e-08
[-4.22868967 -0.99839061],[-6.356598],[327.81808472],3.239634155751685e-08,0.0,3.239634155751685e-08
[-4.17570162 -1.20112109],[-6.3548837],[324.45559692],3.1292513420787004e-08,0.0,3.1292513420787004e-08
[4.92307091 1.38217258],[3.0994797],[317.90390015],5.5782596252499964e-11,0.0,5.5782596252499964e-11
[4.86753798 1.59226072],[3.0971005],[321.04614258],5.5187282077189277e-11,0.0,5.5187282077189277e-11
[4.9861083  1.14369357],[3.1021805],[317.50769043],5.651246737253012e-11,0.0,5.651246737253012e-11
[4.99153519 1.39055765],[3.1679122],[318.14147949],8.746496650518255e-11,0.0,8.746496650518255e-11
[4.99027538 1.39535952],[3.1678672],[318.18041992],8.744276185782544e-11,0.0,8.744276185782544e-11
[4.65172768 2.68575859],[3.155721],[332.39175415],7.921993883120032e-11,0.0,7.921993883120032e-11
[2.95489383 0.883605  ],[1.0691376],[317.1355896],2.2476824252157575e-07,0.0,2.2476824252157575e-07
[2.93655491 0.95331365],[1.0684327],[316.60028076],2.246705355524439e-07,0.0,2.246705355524439e-07
[3.14239621 0.17088807],[1.0763451],[320.63851929],2.2594987974309575e-07,0.0,2.2594987974309575e-07
[3.35292125 0.97526181],[1.4774907],[322.74874878],2.181551284680034e-07,0.0,2.181551284680034e-07
[3.10844612 1.90474987],[1.4681449],[319.43432617],2.1968337588359505e-07,0.0,2.1968337588359505e-07
[ 3.83992958 -0.87633073],[1.496108],[318.59146118],2.1500830728041647e-07,0.0,2.1500830728041647e-07
[3.39586258 0.96094954],[1.5156178],[320.64532471],2.116460580590197e-07,0.0,2.116460580590197e-07
[3.3613081  1.09399879],[1.514707],[322.53738403],2.118266700938454e-07,0.0,2.118266700938454e-07
[3.56819749 0.29738659],[1.5201604],[318.61096191],2.1079795954405658e-07,0.0,2.1079795954405658e-07
[2.05534196 0.60115111],[0.12780266],[319.11862183],1.1671440963224091e-07,0.0,1.1671440963224091e-07
[1.98073006 0.8906945 ],[0.12638846],[332.78530884],1.1682156649843646e-07,0.0,1.1682156649843646e-07
[2.17119718 0.15155643],[0.1299985],[320.50134277],1.1651311700457343e-07,0.0,1.1651311700457343e-07
[3.5592227  0.98751581],[1.6805087],[316.78671265],1.8036806316021166e-07,0.0,1.8036806316021166e-07
