x,z,p,acqf,penalty,pacqf
[-4.75  1.25],[-5.5467377],[325.38699143],1.162274263968192e-31,0.0,1.162274263968192e-31
[4.75 4.75],[4.3250136],[332.49664656],2.2680288006966073e-32,-2.748642,-2.7486419677734375
[1.75 2.75],[1.0923443],[329.30042999],1.6721215618878906e-43,0.0,1.6721215618878906e-43
[-2.25 -2.25],[-3.518499],[325.74437559],8.768712979582966e-39,0.0,8.768712979582966e-39
[ 2.75 -0.25],[1.6975024],[313.23475333],5.7008042517512335e-42,0.0,5.7008042517512335e-42
[-3.25  3.75],[-3.737149],[349.75466596],4.874562564770908e-38,0.0,4.874562564770908e-38
[-4.25  2.25],[-4.9220686],[312.95042897],7.473721571361929e-34,0.0,7.473721571361929e-34
[4.25 3.25],[3.635927],[313.14913803],4.3841840949746325e-35,0.0,4.3841840949746325e-35
[3.25 0.25],[2.2577534],[320.26802123],3.245611721142588e-40,0.0,3.245611721142588e-40
[2.25 1.75],[1.4593413],[321.55382681],1.2658611775747052e-42,0.0,1.2658611775747052e-42
[-1.75  0.75],[-2.6361582],[318.55181062],1.4881430956150923e-41,0.0,1.4881430956150923e-41
[ 1.25 -4.25],[-0.30534005],[327.57433945],3.9386630937511637e-45,0.0,3.9386630937511637e-45
[ 0.75 -1.25],[-0.41466528],[330.88590491],3.9247516089706627e-45,0.0,3.9247516089706627e-45
[ 3.75 -2.75],[2.3670785],[328.16751422],7.656863664801253e-40,0.0,7.656863664801253e-40
[-1.25 -1.75],[-2.4624152],[350.06194007],4.8898144603961106e-42,0.0,4.8898144603961106e-42
[-2.75 -3.25],[-4.143168],[331.43551697],1.2735940785602987e-36,0.0,1.2735940785602987e-36
[-0.75 -4.75],[-2.3530898],[315.41062057],2.504196900116019e-42,0.0,2.504196900116019e-42
[-3.75 -0.75],[-4.8127437],[331.23737409],3.0538552863637643e-34,0.0,3.0538552863637643e-34
[ 0.25 -3.75],[-1.232588],[340.6501053],1.4523507709496108e-44,0.0,1.4523507709496108e-44
[-0.25  4.25],[-0.6977337],[331.3411522],4.7459951757144275e-45,0.0,4.7459951757144275e-45
[4.9949913  0.60721171],[4.034224],[334.52453613],1.6283363813091937e-33,0.0,1.6283363813091937e-33
[4.99716187 0.62609059],[4.0388083],[333.4387207],1.6976647615209697e-33,0.0,1.6976647615209697e-33
[-4.47222948 -0.54133832],[-5.5020714],[338.94128418],8.141208095746051e-32,0.0,8.141208095746051e-32
[4.99827147 0.77845323],[4.0595384],[325.36077881],2.0496312969252956e-33,-0.11601448,-0.11601448059082031
[4.99350452 0.74779415],[4.0508614],[326.98907471],1.8939552920219176e-33,-0.029973984,-0.029973983764648438
[4.98827934 0.70546573],[4.0402265],[329.26519775],1.7196687349496285e-33,0.0,1.7196687349496285e-33
[-4.15118933 -0.48844135],[-5.176892],[333.8182373],5.946391913677213e-33,0.0,5.946391913677213e-33
[4.99663687 0.71451783],[4.04968],[328.74246216],1.8744102054710143e-33,-0.018253326,-0.018253326416015625
[4.99639606 0.67161363],[4.0439143],[331.0038147],1.7783837917497362e-33,0.0,1.7783837917497362e-33
[-4.01911068 -0.46069944],[-5.042339],[332.97702026],1.9927584290059563e-33,0.0,1.9927584290059563e-33
[4.987813   0.68497163],[4.0371237],[330.34753418],1.6714496443917903e-33,0.0,1.6714496443917903e-33
[4.99478006 0.66147506],[4.0410047],[331.54629517],1.7317607210040387e-33,0.0,1.7317607210040387e-33
[-3.91723323 -0.45772329],[-4.9409275],[332.88052368],8.720291356537993e-34,0.0,8.720291356537993e-34
[4.99738598 0.68351936],[4.0464296],[330.37332153],1.8191251652577788e-33,0.0,1.8191251652577788e-33
[-3.93056226 -0.47469175],[-4.9563317],[332.63516235],9.885494100262165e-34,0.0,9.885494100262165e-34
[4.99432421 0.69124973],[4.044389],[329.98312378],1.7858781382896762e-33,0.0,1.7858781382896762e-33
[-3.95401835 -0.48991868],[-4.981554],[332.41964722],1.2137957426790858e-33,0.0,1.2137957426790858e-33
[4.98372936 0.68536747],[4.033125],[330.34844971],1.6116558427186133e-33,0.0,1.6116558427186133e-33
[4.99542332 0.67374492],[4.0432243],[330.89700317],1.7673499254996755e-33,0.0,1.7673499254996755e-33
