x,z,p,acqf,penalty,pacqf
[-4.75  1.25],[-4.448194],[325.38699143],8.514767759503427e-19,0.0,8.514767759503427e-19
[4.75 4.75],[5.58503],[332.49664656],8.821238267489609e-19,-5.2089453,-5.208945274353027
[1.75 2.75],[2.2224247],[329.30042999],8.14706419536722e-19,0.0,8.14706419536722e-19
[-2.25 -2.25],[-2.7675397],[325.74437559],8.21101374670822e-19,0.0,8.21101374670822e-19
[ 2.75 -0.25],[2.5473783],[313.23475333],8.185502133184549e-19,0.0,8.185502133184549e-19
[-3.25  3.75],[-2.4412901],[349.75466596],8.167485502482571e-19,0.0,8.167485502482571e-19
[-4.25  2.25],[-3.7430482],[312.95042897],8.367154872898431e-19,0.0,8.367154872898431e-19
[4.25 3.25],[4.77135],[313.14913803],8.597862231390167e-19,0.0,8.597862231390167e-19
[3.25 0.25],[3.1439905],[320.26802123],8.268549134240482e-19,0.0,8.268549134240482e-19
[2.25 1.75],[2.4934354],[321.55382681],8.179427221725914e-19,0.0,8.179427221725914e-19
[-1.75  0.75],[-1.6282583],[318.55181062],8.088096883163055e-19,0.0,8.088096883163055e-19
[ 1.25 -4.25],[0.21487254],[327.57433945],8.024063328200972e-19,0.0,8.024063328200972e-19
[ 0.75 -1.25],[0.3779975],[330.88590491],8.029470120531737e-19,0.0,8.029470120531737e-19
[ 3.75 -2.75],[2.9808655],[328.16751422],8.245641435713297e-19,0.0,8.245641435713297e-19
[-1.25 -1.75],[-1.6828494],[350.06194007],8.090820576772789e-19,0.0,8.090820576772789e-19
[-2.75 -3.25],[-3.4726858],[331.43551697],8.318034994779735e-19,0.0,8.318034994779735e-19
[-0.75 -4.75],[-1.8459743],[315.41062057],8.104452284628066e-19,0.0,8.104452284628066e-19
[-3.75 -0.75],[-3.906173],[331.23737409],8.397533789425031e-19,0.0,8.397533789425031e-19
[ 0.25 -3.75],[-0.6527501],[340.6501053],8.035697157994062e-19,0.0,8.035697157994062e-19
[-0.25  4.25],[0.5957134],[331.3411522],8.033548326699953e-19,0.0,8.033548326699953e-19
[4.9949913  0.60721171],[4.924914],[334.52453613],8.638228155629953e-19,0.0,8.638228155629953e-19
[4.9618659  0.88870084],[4.953681],[320.8609314],8.64474713604217e-19,0.0,8.64474713604217e-19
[4.77898645 2.44274521],[5.1124945],[348.00213623],8.686921857684475e-19,-0.59625626,-0.5962562561035156
[-4.30898809 -0.51573557],[-4.4009814],[336.55023193],8.504736911464419e-19,0.0,8.504736911464419e-19
[-4.52933407  1.05691385],[-4.274702],[324.30932617],8.474099051844006e-19,0.0,8.474099051844006e-19
[-4.00540733 -2.68244624],[-4.5749626],[318.76031494],8.543382818769873e-19,0.0,8.543382818769873e-19
[4.94571161 1.15537417],[4.995798],[317.4133606],8.657959871150208e-19,0.0,8.657959871150208e-19
[4.91200924 1.30693412],[4.995798],[317.34686279],8.657199453655929e-19,0.0,8.657199453655929e-19
[4.84990311 1.58622551],[4.995798],[320.75488281],8.659275560513788e-19,0.0,8.659275560513788e-19
