x,z,p,acqf,penalty,pacqf
[-1.75 -0.25],[-3.5660207],[83.60942897],3.5604499648176884e-15,0.0,3.5604499648176884e-15
[-2.75  4.75],[-8.062718],[137.76650702],1.3597643849179383e-34,0.0,1.3597643849179383e-34
[-4.25  3.75],[-8.24335],[113.82651988],4.4375615127641625e-33,0.0,4.4375615127641625e-33
[-0.75 -4.75],[0.5445343],[90.49013478],9.01196064545036e-12,0.0,9.01196064545036e-12
[4.25 0.75],[-0.526639],[76.67089473],1.4266538105815372e-10,0.0,1.4266538105815372e-10
[ 3.25 -3.25],[1.9272189],[69.77999504],5.88637839975542e-11,0.0,5.88637839975542e-11
[ 2.25 -4.25],[2.0642252],[74.53170009],6.859970958916351e-11,0.0,6.859970958916351e-11
[ 2.75 -2.75],[1.2234381],[76.6154695],1.4061661853428506e-11,0.0,1.4061661853428506e-11
[ 3.75 -1.25],[0.70028985],[78.61789415],8.226773764317345e-12,0.0,8.226773764317345e-12
[0.75 2.25],[-3.9085364],[73.98107492],6.042501770194203e-17,0.0,6.042501770194203e-17
[-2.25  1.25],[-5.0420856],[77.19120683],1.470813535718934e-19,0.0,1.470813535718934e-19
[-3.25  3.25],[-7.221931],[90.28908175],3.6499433559034678e-31,0.0,3.6499433559034678e-31
[-3.75  4.25],[-8.311853],[121.76670643],2.6186838316359947e-32,0.0,2.6186838316359947e-32
[ 4.75 -1.75],[1.7217094],[74.35479152],4.1227067723231374e-11,0.0,4.1227067723231374e-11
[ 0.25 -3.75],[0.4075281],[73.14101473],1.083346058774507e-11,0.0,1.083346058774507e-11
[ 1.75 -2.25],[0.20201862],[86.19470014],1.672972012060543e-11,0.0,1.672972012060543e-11
[1.25 2.75],[-3.9770398],[78.10577038],2.921555835766551e-17,0.0,2.921555835766551e-17
[-4.75 -0.75],[-5.085712],[116.46395125],1.3623478740970288e-19,0.0,1.3623478740970288e-19
[-0.25  1.75],[-4.157672],[90.80614708],5.411215176606392e-18,0.0,5.411215176606392e-18
[-1.25  0.25],[-3.6345239],[84.37697827],1.5254572848630554e-15,0.0,1.5254572848630554e-15
[ 3.59941983 -3.84306073],[2.6072087],[55.04724884],4.312580214002621e-11,0.0,4.312580214002621e-11
[ 3.76800442 -4.04675341],[2.8716152],[74.27901459],1.6586748180878212e-11,0.0,1.6586748180878212e-11
[ 3.86975408 -4.27573109],[3.1130905],[57.94181061],5.677697183056781e-12,0.0,5.677697183056781e-12
[ 4.01683331 -4.46195555],[3.3503444],[65.4670639],2.9545473954683923e-12,0.0,2.9545473954683923e-12
[ 4.15485716 -4.63968277],[3.575284],[81.05283356],5.092440096598804e-12,0.0,5.092440096598804e-12
[ 4.26317501 -4.80294275],[3.7701788],[69.22357941],3.058789285339286e-11,0.0,3.058789285339286e-11
[ 4.38669062 -4.96827364],[3.976328],[54.10623169],6.178627456517101e-10,-0.38302898,-0.3830289840698242
[ 4.38400936 -4.99999714],[3.999124],[63.775177],8.975850006710145e-10,-0.55908203,-0.55908203125
[ 4.36770105 -4.99999666],[3.9887633],[55.41675949],7.569458181062744e-10,-0.47906876,-0.4790687561035156
[ 4.35193014 -4.99999905],[3.9787464],[73.71774292],6.426024942169521e-10,-0.4017067,-0.4017066955566406
[ 4.3413825  -4.99986124],[3.9719393],[84.88314819],5.753081063031693e-10,-0.34914017,-0.3491401672363281
[ 4.32971811 -4.99999428],[3.964632],[83.28296661],5.111273392599983e-10,-0.29270172,-0.29270172119140625
[ 0.62288362 -0.59253561],[-1.7940462],[82.32062531],4.4559810624390896e-10,0.0,4.4559810624390896e-10
[ 4.30069351 -4.99648571],[3.9434836],[80.73192596],3.642141995006274e-10,-0.12937546,-0.12937545776367188
[ 0.6480217  -0.60492122],[-1.7685113],[56.1764946],4.5704366767216586e-10,0.0,4.5704366767216586e-10
[ 0.61748314 -0.57583606],[-1.8103738],[76.68196106],4.37931010576674e-10,0.0,4.37931010576674e-10
[ 0.62644774 -0.5868578 ],[-1.7961668],[81.1634903],4.445860262700799e-10,0.0,4.445860262700799e-10
[ 4.28991127 -4.99743938],[3.9373703],[88.44294739],3.305276222494395e-10,-0.08216858,-0.0821685791015625
[ 3.26799917 -3.77307844],[2.3426185],[82.4226532],6.914855457720425e-11,0.0,6.914855457720425e-11
[ 0.85365391 -0.84681118],[-1.4510701],[93.69122314],5.292841286091276e-10,0.0,5.292841286091276e-10
