x,z,p,acqf,penalty,pacqf
[-1.75 -0.25],[-2.1974235],[83.60942897],1.2058857536233643e-12,0.0,1.2058857536233643e-12
[-2.75  4.75],[-6.609756],[137.76650702],5.712968594269251e-41,0.0,5.712968594269251e-41
[-4.25  3.75],[-6.851288],[113.82651988],5.454002891368195e-38,0.0,5.454002891368195e-38
[-0.75 -4.75],[1.8397938],[90.49013478],3.771395287097649e-12,0.0,3.771395287097649e-12
[4.25 0.75],[1.0193961],[76.67089473],2.2907299950725705e-08,0.0,2.2907299950725705e-08
[ 3.25 -3.25],[3.359147],[69.77999504],2.2409321542835388e-07,0.0,2.2409321542835388e-07
[ 2.25 -4.25],[3.4482036],[74.53170009],5.325941874216323e-07,0.0,5.325941874216323e-07
[ 2.75 -2.75],[2.6534438],[76.6154695],1.768348988589276e-10,0.0,1.768348988589276e-10
[ 3.75 -1.25],[2.1892717],[78.61789415],4.161743034561358e-12,0.0,4.161743034561358e-12
[0.75 2.25],[-2.4200644],[73.98107492],4.552011665739194e-15,0.0,4.552011665739194e-15
[-2.25  1.25],[-3.6533585],[77.19120683],1.841179181388721e-17,0.0,1.841179181388721e-17
[-3.25  3.25],[-5.8149967],[90.28908175],6.511740260921185e-30,0.0,6.511740260921185e-30
[-3.75  4.25],[-6.895816],[121.76670643],4.383787652572452e-37,0.0,4.383787652572452e-37
[ 4.75 -1.75],[3.2255626],[74.35479152],6.02871400426781e-08,0.0,6.02871400426781e-08
[ 0.25 -3.75],[1.7507373],[73.14101473],6.193324549961549e-12,0.0,6.193324549961549e-12
[ 1.75 -2.25],[1.6171528],[86.19470014],1.8518036966749177e-11,0.0,1.8518036966749177e-11
[1.25 2.75],[-2.4645927],[78.10577038],1.6139735612368113e-15,0.0,1.6139735612368113e-15
[-4.75 -0.75],[-3.8058333],[116.46395125],3.6036444873659983e-17,0.0,3.6036444873659983e-17
[-0.25  1.75],[-2.7061238],[90.80614708],1.8358510349793533e-17,0.0,1.8358510349793533e-17
[-1.25  0.25],[-2.2419517],[84.37697827],3.892178138794851e-13,0.0,3.892178138794851e-13
[ 3.59941983 -3.84306073],[4.0351076],[55.04724884],0.0001405144271584367,0.0,0.0001405144271584367
[ 3.76800442 -4.04675341],[4.2993884],[74.27901459],0.0013995223270848592,0.0,0.0013995223270848592
[ 3.86975408 -4.27573109],[4.5384493],[57.94181061],0.008193728351688198,0.0,0.008193728351688198
[ 4.01683331 -4.46195555],[4.7754054],[65.4670639],0.03239317089438432,0.0,0.03239317089438432
[ 4.15485716 -4.63968277],[5.],[81.05283356],0.08559474268780576,0.0,0.08559474268780576
