,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-8.6357099],"[-4.090988059135, -6.343361344555]",-838.043800,penalty,-27.189456
1,[-8.6002660],"[-4.083413711021, -6.308736169227]",-833.823822,penalty,-27.189481
2,[-8.5648220],"[-4.075839362908, -6.274110993898]",-829.603845,penalty,-27.189506
3,[-8.5293781],"[-4.068265014794, -6.239485818570]",-825.383867,penalty,-27.189532
4,[-8.4939341],"[-4.060690666680, -6.204860643241]",-821.163890,penalty,-27.189557
5,[-8.4584902],"[-4.053116318566, -6.170235467913]",-816.943913,penalty,-27.189582
6,[-8.4230462],"[-4.045541970452, -6.135610292585]",-812.723936,penalty,-27.189606
7,[-8.3876023],"[-4.037967622338, -6.100985117256]",-808.503959,penalty,-27.189631
8,[-8.3521583],"[-4.030393274224, -6.066359941928]",-804.283982,penalty,-27.189656
9,[-8.3167144],"[-4.022818926110, -6.031734766600]",-800.064005,penalty,-27.189680
10,[-8.2812704],"[-4.015244577996, -5.997109591271]",-795.844028,penalty,-27.189705
11,[-8.2458265],"[-4.007670229882, -5.962484415943]",-791.624051,penalty,-27.189729
12,[-8.2103825],"[-4.000095881768, -5.927859240615]",-787.404075,penalty,-27.189753
13,[-8.1749386],"[-3.992521533655, -5.893234065286]",-783.184098,penalty,-27.189777
14,[-8.1394946],"[-3.984947185541, -5.858608889958]",-778.964122,penalty,-27.189801
15,[-8.1040507],"[-3.977372837427, -5.823983714630]",-774.744146,penalty,-27.189825
16,[-8.0686067],"[-3.969798489313, -5.789358539301]",-770.524170,penalty,-27.189849
17,[-8.0331628],"[-3.962224141199, -5.754733363973]",-766.304194,penalty,-27.189873
18,[-7.9977188],"[-3.954649793085, -5.720108188645]",-762.084218,penalty,-27.189896
19,[-7.9622749],"[-3.947075444971, -5.685483013316]",-757.864242,penalty,-27.189920
20,[-7.9268309],"[-3.939501096857, -5.650857837988]",-753.644266,penalty,-27.189943
21,[-7.8913870],"[-3.931926748743, -5.616232662659]",-749.424291,penalty,-27.189966
22,[-7.8559430],"[-3.924352400629, -5.581607487331]",-745.204315,penalty,-27.189989
23,[-7.8204991],"[-3.916778052516, -5.546982312003]",-740.984340,penalty,-27.190012
24,[-7.7850551],"[-3.909203704402, -5.512357136674]",-736.764364,penalty,-27.190035
25,[-7.7496112],"[-3.901629356288, -5.477731961346]",-732.544389,penalty,-27.190058
26,[-7.7141672],"[-3.894055008174, -5.443106786018]",-728.324414,penalty,-27.190081
27,[-7.6787233],"[-3.886480660060, -5.408481610689]",-724.104439,penalty,-27.190104
28,[-7.6432793],"[-3.878906311946, -5.373856435361]",-719.884464,penalty,-27.190126
29,[-7.6078354],"[-3.871331963832, -5.339231260033]",-715.664490,penalty,-27.190148
30,[-7.5723914],"[-3.863757615718, -5.304606084704]",-711.444515,penalty,-27.190171
31,[-7.5369475],"[-3.856183267604, -5.269980909376]",-707.224540,penalty,-27.190193
32,[-7.5015035],"[-3.848608919490, -5.235355734048]",-703.004566,penalty,-27.190215
33,[-7.4660596],"[-3.841034571376, -5.200730558719]",-698.784592,penalty,-27.190237
34,[-7.4306156],"[-3.833460223263, -5.166105383391]",-694.564617,penalty,-27.190259
35,[-7.3951717],"[-3.825885875149, -5.131480208062]",-690.344643,penalty,-27.190281
36,[-7.3597277],"[-3.818311527035, -5.096855032734]",-686.124669,penalty,-27.190302
37,[-7.3242838],"[-3.810737178921, -5.062229857406]",-681.904695,penalty,-27.190324
38,[-7.2888398],"[-3.803162830807, -5.027604682077]",-677.684721,penalty,-27.190346
39,[-7.2533959],"[-3.795588482693, -4.992979506749]",-673.464748,penalty,-27.190367
40,[-7.2179519],"[-3.788014134579, -4.958354331421]",-669.244774,penalty,-27.190388
41,[-7.1825080],"[-3.780439786465, -4.923729156092]",-665.024801,penalty,-27.190409
42,[-7.1470640],"[-3.772865438351, -4.889103980764]",-660.804827,penalty,-27.190430
43,[-7.1116201],"[-3.765291090237, -4.854478805436]",-656.584854,penalty,-27.190451
44,[-7.0761761],"[-3.757716742123, -4.819853630107]",-652.364881,penalty,-27.190472
45,[-7.0407322],"[-3.750142394010, -4.785228454779]",-648.144908,penalty,-27.190493
46,[-7.0052883],"[-3.742568045896, -4.750603279451]",-643.924935,penalty,-27.190514
47,[-6.9698443],"[-3.734993697782, -4.715978104122]",-639.704962,penalty,-27.190534
48,[-6.9344004],"[-3.727419349668, -4.681352928794]",-635.484989,penalty,-27.190555
49,[-6.8989564],"[-3.719845001554, -4.646727753466]",-631.265016,penalty,-27.190575
50,[-6.8635125],"[-3.712270653440, -4.612102578137]",-627.045044,penalty,-27.190595
51,[-6.8280685],"[-3.704696305326, -4.577477402809]",-622.825071,penalty,-27.190615
52,[-6.7926246],"[-3.697121957212, -4.542852227480]",-618.605099,penalty,-27.190635
53,[-6.7571806],"[-3.689547609098, -4.508227052152]",-614.385127,penalty,-27.190655
54,[-6.7217367],"[-3.681973260984, -4.473601876824]",-610.165155,penalty,-27.190675
55,[-6.6862927],"[-3.674398912871, -4.438976701495]",-605.945182,penalty,-27.190695
56,[-6.6508488],"[-3.666824564757, -4.404351526167]",-601.725211,penalty,-27.190714
57,[-6.6154048],"[-3.659250216643, -4.369726350839]",-597.505239,penalty,-27.190734
58,[-6.5799609],"[-3.651675868529, -4.335101175510]",-593.285267,penalty,-27.190753
59,[-6.5445169],"[-3.644101520415, -4.300476000182]",-589.065295,penalty,-27.190772
60,[-6.5090730],"[-3.636527172301, -4.265850824854]",-584.845324,penalty,-27.190792
61,[-6.4736290],"[-3.628952824187, -4.231225649525]",-580.625352,penalty,-27.190811
62,[-6.4381851],"[-3.621378476073, -4.196600474197]",-576.405381,penalty,-27.190830
63,[-6.4027411],"[-3.613804127959, -4.161975298869]",-572.185410,penalty,-27.190849
64,[-6.3672972],"[-3.606229779845, -4.127350123540]",-567.965439,penalty,-27.190867
65,[-6.3318532],"[-3.598655431731, -4.092724948212]",-563.745468,penalty,-27.190886
66,[-6.2964093],"[-3.591081083618, -4.058099772884]",-559.525497,penalty,-27.190905
67,[-6.2609653],"[-3.583506735504, -4.023474597555]",-555.305526,penalty,-27.190923
68,[-6.2255214],"[-3.575932387390, -3.988849422227]",-551.085555,penalty,-27.190941
69,[-6.1900774],"[-3.568358039276, -3.954224246898]",-546.865585,penalty,-27.190960
70,[-6.1546335],"[-3.560783691162, -3.919599071570]",-542.645614,penalty,-27.190978
71,[-6.1191895],"[-3.553209343048, -3.884973896242]",-538.425644,penalty,-27.190996
72,[-6.0837456],"[-3.545634994934, -3.850348720913]",-534.205674,penalty,-27.191014
73,[-6.0483016],"[-3.538060646820, -3.815723545585]",-529.985704,penalty,-27.191031
74,[-6.0128577],"[-3.530486298706, -3.781098370257]",-525.765733,penalty,-27.191049
75,[-5.9774137],"[-3.522911950592, -3.746473194928]",-521.545764,penalty,-27.191067
76,[-5.9419698],"[-3.515337602478, -3.711848019600]",-517.325794,penalty,-27.191084
77,[-5.9065258],"[-3.507763254365, -3.677222844272]",-513.105824,penalty,-27.191102
78,[-5.8710819],"[-3.500188906251, -3.642597668943]",-508.885854,penalty,-27.191119
79,[-5.8356379],"[-3.492614558137, -3.607972493615]",-504.665885,penalty,-27.191136
80,[-5.8001940],"[-3.485040210023, -3.573347318287]",-500.445915,penalty,-27.191153
81,[-5.7647500],"[-3.477465861909, -3.538722142958]",-496.225946,penalty,-27.191170
82,[-5.7293061],"[-3.469891513795, -3.504096967630]",-492.005977,penalty,-27.191187
83,[-5.6938621],"[-3.462317165681, -3.469471792302]",-487.786008,penalty,-27.191204
84,[-5.6584182],"[-3.454742817567, -3.434846616973]",-483.566039,penalty,-27.191221
85,[-5.6229742],"[-3.447168469453, -3.400221441645]",-479.346070,penalty,-27.191237
86,[-5.5875303],"[-3.439594121339, -3.365596266316]",-475.126101,penalty,-27.191254
87,[-5.5520863],"[-3.432019773226, -3.330971090988]",-470.906132,penalty,-27.191270
88,[-5.5166424],"[-3.424445425112, -3.296345915660]",-466.686164,penalty,-27.191286
89,[-5.4811984],"[-3.416871076998, -3.261720740331]",-462.466195,penalty,-27.191302
90,[-5.4457545],"[-3.409296728884, -3.227095565003]",-458.246227,penalty,-27.191318
91,[-5.4103105],"[-3.401722380770, -3.192470389675]",-454.026258,penalty,-27.191334
92,[-5.3748666],"[-3.394148032656, -3.157845214346]",-449.806290,penalty,-27.191350
93,[-5.3394227],"[-3.386573684542, -3.123220039018]",-445.586322,penalty,-27.191366
94,[-5.3039787],"[-3.378999336428, -3.088594863690]",-441.366354,penalty,-27.191382
95,[-5.2685348],"[-3.371424988314, -3.053969688361]",-437.146386,penalty,-27.191397
96,[-5.2330908],"[-3.363850640200, -3.019344513033]",-432.926419,penalty,-27.191412
97,[-5.1976469],"[-3.356276292086, -2.984719337705]",-428.706451,penalty,-27.191428
98,[-5.1622029],"[-3.348701943973, -2.950094162376]",-424.486483,penalty,-27.191443
99,[-5.1267590],"[-3.341127595859, -2.915468987048]",-420.266516,penalty,-27.191458
100,[-5.0913150],"[-3.333553247745, -2.880843811720]",-416.046549,penalty,-27.191473
101,[-5.0558711],"[-3.325978899631, -2.846218636391]",-411.826581,penalty,-27.191488
102,[-5.0204271],"[-3.318404551517, -2.811593461063]",-407.606614,penalty,-27.191503
103,[-4.9849832],"[-3.310830203403, -2.776968285734]",-403.386647,penalty,-27.191517
104,[-4.9495392],"[-3.303255855289, -2.742343110406]",-399.166680,penalty,-27.191532
105,[-4.9140953],"[-3.295681507175, -2.707717935078]",-394.946713,penalty,-27.191546
106,[-4.8786513],"[-3.288107159061, -2.673092759749]",-390.726747,penalty,-27.191561
107,[-4.8432074],"[-3.280532810947, -2.638467584421]",-386.506780,penalty,-27.191575
108,[-4.8077634],"[-3.272958462833, -2.603842409093]",-382.286814,penalty,-27.191589
109,[-4.7723195],"[-3.265384114720, -2.569217233764]",-378.066847,penalty,-27.191603
110,[-4.7368755],"[-3.257809766606, -2.534592058436]",-374.579440,penalty,-27.191617
111,[-4.7014316],"[-3.250235418492, -2.499966883108]",-371.116909,penalty,-27.191631
112,[-4.6659876],"[-3.242661070378, -2.465341707779]",-367.654378,penalty,-27.191645
113,[-4.6305437],"[-3.235086722264, -2.430716532451]",-364.191847,penalty,-27.191659
114,[-4.5950997],"[-3.227512374150, -2.396091357123]",-360.729316,penalty,-27.191672
115,[-4.5596558],"[-3.219938026036, -2.361466181794]",-357.266785,penalty,-27.191685
116,[-4.5242118],"[-3.212363677922, -2.326841006466]",-353.804255,penalty,-27.191699
117,[-4.4887679],"[-3.204789329808, -2.292215831137]",-350.341724,penalty,-27.191712
118,[-4.4533239],"[-3.197214981694, -2.257590655809]",-346.879193,penalty,-27.191725
119,[-4.4178800],"[-3.189640633581, -2.222965480481]",-343.416663,penalty,-27.191738
120,[-4.3824360],"[-3.182066285467, -2.188340305152]",-339.954133,penalty,-27.191751
121,[-4.3469921],"[-3.174491937353, -2.153715129824]",-336.491603,penalty,-27.191764
122,[-4.3115481],"[-3.166917589239, -2.119089954496]",-333.029073,penalty,-27.191777
123,[-4.2761042],"[-3.159343241125, -2.084464779167]",-329.566543,penalty,-27.191789
124,[-4.2406602],"[-3.151768893011, -2.049839603839]",-326.104013,penalty,-27.191802
125,[-4.2052163],"[-3.144194544897, -2.015214428511]",-322.641483,penalty,-27.191814
126,[-4.1697723],"[-3.136620196783, -1.980589253182]",-319.178953,penalty,-27.191826
127,[-4.1343284],"[-3.129045848669, -1.945964077854]",-315.716424,penalty,-27.191838
128,[-4.0988844],"[-3.121471500555, -1.911338902526]",-312.253894,penalty,-27.191851
129,[-4.0634405],"[-3.113897152441, -1.876713727197]",-308.791365,penalty,-27.191862
130,[-4.0279965],"[-3.106322804328, -1.842088551869]",-305.328836,penalty,-27.191874
131,[-3.9925526],"[-3.098748456214, -1.807463376541]",-301.866306,penalty,-27.191886
132,[-3.9571086],"[-3.091174108100, -1.772838201212]",-298.403777,penalty,-27.191898
133,[-3.9216647],"[-3.083599759986, -1.738213025884]",-294.941248,penalty,-27.191909
134,[-3.8862207],"[-3.076025411872, -1.703587850555]",-291.478720,penalty,-27.191921
135,[-3.8507768],"[-3.068451063758, -1.668962675227]",-288.016191,penalty,-27.191932
136,[-3.8153328],"[-3.060876715644, -1.634337499899]",-284.553662,penalty,-27.191943
137,[-3.7798889],"[-3.053302367530, -1.599712324570]",-281.091134,penalty,-27.191954
138,[-3.7444449],"[-3.045728019416, -1.565087149242]",-277.628605,penalty,-27.191965
139,[-3.7090010],"[-3.038153671302, -1.530461973914]",-274.166077,penalty,-27.191976
140,[-3.6735571],"[-3.030579323188, -1.495836798585]",-270.703549,penalty,-27.191987
141,[-3.6381131],"[-3.023004975075, -1.461211623257]",-267.241021,penalty,-27.191998
142,[-3.6026692],"[-3.015430626961, -1.426586447929]",-263.778493,penalty,-27.192009
143,[-3.5672252],"[-3.007856278847, -1.391961272600]",-260.315965,penalty,-27.192019
144,[-3.5317813],"[-3.000281930733, -1.357336097272]",-256.853437,penalty,-27.192029
145,[-3.4963373],"[-2.992707582619, -1.322710921944]",-253.390909,penalty,-27.192040
146,[-3.4608934],"[-2.985133234505, -1.288085746615]",-249.928382,penalty,-27.192050
147,[-3.4254494],"[-2.977558886391, -1.253460571287]",-246.465854,penalty,-27.192060
148,[-3.3900055],"[-2.969984538277, -1.218835395959]",-243.003327,penalty,-27.192070
149,[-3.3545615],"[-2.962410190163, -1.184210220630]",-239.540799,penalty,-27.192080
150,[-3.3191176],"[-2.954835842049, -1.149585045302]",-236.078272,penalty,-27.192090
151,[-3.2836736],"[-2.947261493935, -1.114959869973]",-232.615745,penalty,-27.192099
152,[-3.2482297],"[-2.939687145822, -1.080334694645]",-229.153218,penalty,-27.192109
153,[-3.2127857],"[-2.932112797708, -1.045709519317]",-225.690691,penalty,-27.192118
154,[-3.1773418],"[-2.924538449594, -1.011084343988]",-222.228165,penalty,-27.192128
155,[-3.1418978],"[-2.916964101480, -0.976459168660]",-218.765638,penalty,-27.192137
156,[-3.1064539],"[-2.909389753366, -0.941833993332]",-215.303112,penalty,-27.192146
157,[-3.0710099],"[-2.901815405252, -0.907208818003]",-211.840585,penalty,-27.192155
