,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-8.5281879],"[-4.569055951196, -6.068309155733]",-680.498959,penalty,0.293954
1,[-8.4927440],"[-4.559554056715, -6.034162596358]",-676.134113,penalty,0.293954
2,[-8.4573000],"[-4.550052162235, -6.000016036983]",-671.769268,penalty,0.293954
3,[-8.4218561],"[-4.540550267754, -5.965869477608]",-667.404423,penalty,0.293954
4,[-8.3864121],"[-4.531048373274, -5.931722918233]",-663.039577,penalty,0.293954
5,[-8.3509682],"[-4.521546478793, -5.897576358858]",-658.674732,penalty,0.293954
6,[-8.3155242],"[-4.512044584313, -5.863429799483]",-654.309887,penalty,0.293954
7,[-8.2800803],"[-4.502542689832, -5.829283240108]",-649.945041,penalty,0.293954
8,[-8.2446363],"[-4.493040795352, -5.795136680733]",-645.580196,penalty,0.293954
9,[-8.2091924],"[-4.483538900871, -5.760990121358]",-641.215350,penalty,0.293954
10,[-8.1737484],"[-4.474037006391, -5.726843561983]",-636.850505,penalty,0.293954
11,[-8.1383045],"[-4.464535111910, -5.692697002608]",-632.485660,penalty,0.293954
12,[-8.1028605],"[-4.455033217430, -5.658550443233]",-628.120814,penalty,0.293954
13,[-8.0674166],"[-4.445531322949, -5.624403883858]",-623.755969,penalty,0.293954
14,[-8.0319726],"[-4.436029428469, -5.590257324483]",-619.391123,penalty,0.293954
15,[-7.9965287],"[-4.426527533988, -5.556110765108]",-615.026278,penalty,0.293954
16,[-7.9610847],"[-4.417025639508, -5.521964205733]",-610.661433,penalty,0.293954
17,[-7.9256408],"[-4.407523745027, -5.487817646358]",-606.296587,penalty,0.293954
18,[-7.8901968],"[-4.398021850546, -5.453671086983]",-601.931742,penalty,0.293954
19,[-7.8547529],"[-4.388519956066, -5.419524527608]",-597.566897,penalty,0.293954
20,[-7.8193089],"[-4.379018061585, -5.385377968233]",-593.202051,penalty,0.293954
21,[-7.7838650],"[-4.369516167105, -5.351231408858]",-588.837206,penalty,0.293954
22,[-7.7484210],"[-4.360014272624, -5.317084849483]",-584.472360,penalty,0.293954
23,[-7.7129771],"[-4.350512378144, -5.282938290108]",-580.107515,penalty,0.293954
24,[-7.6775331],"[-4.341010483663, -5.248791730733]",-575.742670,penalty,0.293954
25,[-7.6420892],"[-4.331508589183, -5.214645171358]",-571.377824,penalty,0.293954
26,[-7.6066452],"[-4.322006694702, -5.180498611983]",-567.012979,penalty,0.293954
27,[-7.5712013],"[-4.312504800222, -5.146352052608]",-562.648133,penalty,0.293954
28,[-7.5357573],"[-4.303002905741, -5.112205493233]",-558.283288,penalty,0.293954
29,[-7.5003134],"[-4.293501011261, -5.078058933858]",-553.918443,penalty,0.293954
30,[-7.4648694],"[-4.283999116780, -5.043912374483]",-549.553597,penalty,0.293954
31,[-7.4294255],"[-4.274497222300, -5.009765815108]",-545.188752,penalty,0.293954
32,[-7.3939815],"[-4.264995327819, -4.975619255733]",-540.823907,penalty,0.293954
33,[-7.3585376],"[-4.255493433339, -4.941472696358]",-536.459061,penalty,0.293954
34,[-7.3230936],"[-4.245991538858, -4.907326136983]",-532.094216,penalty,0.293954
35,[-7.2876497],"[-4.236489644377, -4.873179577608]",-527.729370,penalty,0.293954
36,[-7.2522057],"[-4.226987749897, -4.839033018233]",-523.364525,penalty,0.293954
37,[-7.2167618],"[-4.217485855416, -4.804886458858]",-518.999680,penalty,0.293954
38,[-7.1813178],"[-4.207983960936, -4.770739899483]",-514.634834,penalty,0.293954
39,[-7.1458739],"[-4.198482066455, -4.736593340108]",-510.269989,penalty,0.293954
40,[-7.1104300],"[-4.188980171975, -4.702446780733]",-505.905143,penalty,0.293954
41,[-7.0749860],"[-4.179478277494, -4.668300221358]",-501.540298,penalty,0.293954
42,[-7.0395421],"[-4.169976383014, -4.634153661983]",-497.175453,penalty,0.293954
43,[-7.0040981],"[-4.160474488533, -4.600007102608]",-492.810607,penalty,0.293954
44,[-6.9686542],"[-4.150972594053, -4.565860543233]",-488.445762,penalty,0.293954
45,[-6.9332102],"[-4.141470699572, -4.531713983858]",-484.080917,penalty,0.293954
46,[-6.8977663],"[-4.131968805092, -4.497567424483]",-479.716071,penalty,0.293954
47,[-6.8623223],"[-4.122466910611, -4.463420865108]",-475.351226,penalty,0.293954
48,[-6.8268784],"[-4.112965016131, -4.429274305733]",-471.146734,penalty,0.293954
49,[-6.7914344],"[-4.103463121650, -4.395127746358]",-467.732078,penalty,0.293954
50,[-6.7559905],"[-4.093961227170, -4.360981186983]",-464.317422,penalty,0.293954
51,[-6.7205465],"[-4.084459332689, -4.326834627608]",-460.902766,penalty,0.293954
52,[-6.6851026],"[-4.074957438208, -4.292688068233]",-457.488110,penalty,0.293954
53,[-6.6496586],"[-4.065455543728, -4.258541508858]",-454.073455,penalty,0.293954
54,[-6.6142147],"[-4.055953649247, -4.224394949483]",-450.658799,penalty,0.293954
55,[-6.5787707],"[-4.046451754767, -4.190248390108]",-447.244143,penalty,0.293954
56,[-6.5433268],"[-4.036949860286, -4.156101830733]",-443.829487,penalty,0.293954
57,[-6.5078828],"[-4.027447965806, -4.121955271358]",-440.414831,penalty,0.293954
