,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-8.3470440],"[-8.168092178464, -2.138987106051]",-1153.494216,penalty,-12.065342
1,[-8.3116001],"[-8.144284768838, -2.112729140349]",-1148.486304,penalty,-12.066716
2,[-8.2761561],"[-8.120477359213, -2.086471174647]",-1143.478398,penalty,-12.068084
3,[-8.2407122],"[-8.096669949588, -2.060213208945]",-1138.470497,penalty,-12.069447
4,[-8.2052682],"[-8.072862539963, -2.033955243243]",-1133.462602,penalty,-12.070805
5,[-8.1698243],"[-8.049055130338, -2.007697277541]",-1128.454712,penalty,-12.072158
6,[-8.1343803],"[-8.025247720713, -1.981439311839]",-1123.446827,penalty,-12.073505
7,[-8.0989364],"[-8.001440311088, -1.955181346137]",-1118.438947,penalty,-12.074847
8,[-8.0634924],"[-7.977632901463, -1.928923380434]",-1113.431073,penalty,-12.076184
9,[-8.0280485],"[-7.953825491838, -1.902665414732]",-1108.423205,penalty,-12.077515
10,[-7.9926045],"[-7.930018082213, -1.876407449030]",-1103.415341,penalty,-12.078841
11,[-7.9571606],"[-7.906210672588, -1.850149483328]",-1098.407483,penalty,-12.080162
12,[-7.9217166],"[-7.882403262963, -1.823891517626]",-1093.399630,penalty,-12.081477
13,[-7.8862727],"[-7.858595853338, -1.797633551924]",-1088.391783,penalty,-12.082787
14,[-7.8508287],"[-7.834788443712, -1.771375586222]",-1083.383941,penalty,-12.084091
15,[-7.8153848],"[-7.810981034087, -1.745117620520]",-1078.376105,penalty,-12.085390
16,[-7.7799408],"[-7.787173624462, -1.718859654818]",-1073.368273,penalty,-12.086684
17,[-7.7444969],"[-7.763366214837, -1.692601689115]",-1068.360448,penalty,-12.087972
18,[-7.7090529],"[-7.739558805212, -1.666343723413]",-1063.352627,penalty,-12.089255
19,[-7.6736090],"[-7.715751395587, -1.640085757711]",-1058.344812,penalty,-12.090532
20,[-7.6381650],"[-7.691943985962, -1.613827792009]",-1053.337003,penalty,-12.091804
21,[-7.6027211],"[-7.668136576337, -1.587569826307]",-1048.329199,penalty,-12.093070
22,[-7.5672771],"[-7.644329166712, -1.561311860605]",-1043.321400,penalty,-12.094331
23,[-7.5318332],"[-7.620521757087, -1.535053894903]",-1038.313607,penalty,-12.095587
24,[-7.4963892],"[-7.596714347462, -1.508795929201]",-1033.305819,penalty,-12.096837
25,[-7.4609453],"[-7.572906937837, -1.482537963498]",-1028.298037,penalty,-12.098082
26,[-7.4255013],"[-7.549099528212, -1.456279997796]",-1023.290260,penalty,-12.099321
27,[-7.3900574],"[-7.525292118586, -1.430022032094]",-1018.282489,penalty,-12.100555
28,[-7.3546134],"[-7.501484708961, -1.403764066392]",-1013.274723,penalty,-12.101784
29,[-7.3191695],"[-7.477677299336, -1.377506100690]",-1008.266962,penalty,-12.103007
30,[-7.2837255],"[-7.453869889711, -1.351248134988]",-1003.259208,penalty,-12.104224
31,[-7.2482816],"[-7.430062480086, -1.324990169286]",-998.251458,penalty,-12.105436
32,[-7.2128377],"[-7.406255070461, -1.298732203584]",-993.243714,penalty,-12.106642
33,[-7.1773937],"[-7.382447660836, -1.272474237882]",-988.235976,penalty,-12.107843
