,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-10.4857364],"[4.668385182894, -5.323448109669]",-865.849996,penalty,-1.568891
1,[-10.4502924],"[4.646418966647, -5.295631588325]",-860.871722,penalty,-1.568891
2,[-10.4148485],"[4.624452750400, -5.267815066982]",-855.893448,penalty,-1.568891
3,[-10.3794045],"[4.602486534153, -5.239998545638]",-850.915175,penalty,-1.568891
4,[-10.3439606],"[4.580520317905, -5.212182024295]",-845.936901,penalty,-1.568891
5,[-10.3085166],"[4.558554101658, -5.184365502951]",-840.958627,penalty,-1.568891
6,[-10.2730727],"[4.536587885411, -5.156548981608]",-835.980353,penalty,-1.568891
7,[-10.2376287],"[4.514621669164, -5.128732460264]",-831.002080,penalty,-1.568891
8,[-10.2021848],"[4.492655452917, -5.100915938921]",-826.023806,penalty,-1.568891
9,[-10.1667408],"[4.470689236670, -5.073099417577]",-821.045532,penalty,-1.568891
10,[-10.1312969],"[4.448723020423, -5.045282896234]",-816.067258,penalty,-1.568891
11,[-10.0958529],"[4.426756804175, -5.017466374890]",-811.088985,penalty,-1.568891
12,[-10.0604090],"[4.404790587928, -4.989649853547]",-806.110711,penalty,-1.568891
13,[-10.0249650],"[4.382824371681, -4.961833332203]",-801.132437,penalty,-1.568891
14,[-9.9895211],"[4.360858155434, -4.934016810860]",-796.154163,penalty,-1.568891
15,[-9.9540771],"[4.338891939187, -4.906200289516]",-791.175890,penalty,-1.568891
16,[-9.9186332],"[4.316925722940, -4.878383768172]",-786.197616,penalty,-1.568891
17,[-9.8831892],"[4.294959506693, -4.850567246829]",-781.219342,penalty,-1.568891
18,[-9.8477453],"[4.272993290445, -4.822750725485]",-776.241068,penalty,-1.568891
19,[-9.8123013],"[4.251027074198, -4.794934204142]",-771.262795,penalty,-1.568891
20,[-9.7768574],"[4.229060857951, -4.767117682798]",-766.284521,penalty,-1.568891
21,[-9.7414134],"[4.207094641704, -4.739301161455]",-761.306247,penalty,-1.568891
22,[-9.7059695],"[4.185128425457, -4.711484640111]",-756.327973,penalty,-1.568891
23,[-9.6705255],"[4.163162209210, -4.683668118768]",-751.349699,penalty,-1.568891
24,[-9.6350816],"[4.141195992962, -4.655851597424]",-746.371426,penalty,-1.568891
25,[-9.5996376],"[4.119229776715, -4.628035076081]",-741.393152,penalty,-1.568891
26,[-9.5641937],"[4.097263560468, -4.600218554737]",-736.414878,penalty,-1.568891
27,[-9.5287497],"[4.075297344221, -4.572402033394]",-731.436604,penalty,-1.568891
28,[-9.4933058],"[4.053331127974, -4.544585512050]",-726.458331,penalty,-1.568891
29,[-9.4578618],"[4.031364911727, -4.516768990707]",-721.480057,penalty,-1.568891
30,[-9.4224179],"[4.009398695480, -4.488952469363]",-716.501783,penalty,-1.568891
31,[-9.3869739],"[3.987432479232, -4.461135948020]",-711.523509,penalty,-1.568891
32,[-9.3515300],"[3.965466262985, -4.433319426676]",-706.545236,penalty,-1.568891
33,[-9.3160860],"[3.943500046738, -4.405502905333]",-701.566962,penalty,-1.568891
34,[-9.2806421],"[3.921533830491, -4.377686383989]",-696.588688,penalty,-1.568891
35,[-9.2451981],"[3.899567614244, -4.349869862646]",-691.610414,penalty,-1.568891
36,[-9.2097542],"[3.877601397997, -4.322053341302]",-686.632141,penalty,-1.568891
37,[-9.1743103],"[3.855635181750, -4.294236819959]",-681.653867,penalty,-1.568891
38,[-9.1388663],"[3.833668965502, -4.266420298615]",-676.675593,penalty,-1.568891
39,[-9.1034224],"[3.811702749255, -4.238603777272]",-671.697319,penalty,-1.568891
40,[-9.0679784],"[3.789736533008, -4.210787255928]",-666.719046,penalty,-1.568891
41,[-9.0325345],"[3.767770316761, -4.182970734585]",-661.740772,penalty,-1.568891
42,[-8.9970905],"[3.745804100514, -4.155154213241]",-656.762498,penalty,-1.568891
43,[-8.9616466],"[3.723837884267, -4.127337691898]",-651.784224,penalty,-1.568891
44,[-8.9262026],"[3.701871668020, -4.099521170554]",-646.805951,penalty,-1.568891
45,[-8.8907587],"[3.679905451772, -4.071704649211]",-641.827677,penalty,-1.568891
46,[-8.8553147],"[3.657939235525, -4.043888127867]",-636.849403,penalty,-1.568891
47,[-8.8198708],"[3.635973019278, -4.016071606524]",-631.871129,penalty,-1.568891
48,[-8.7844268],"[3.614006803031, -3.988255085180]",-626.892855,penalty,-1.568891
49,[-8.7489829],"[3.592040586784, -3.960438563837]",-621.914582,penalty,-1.568891
50,[-8.7135389],"[3.570074370537, -3.932622042493]",-616.936308,penalty,-1.568891
51,[-8.6780950],"[3.548108154290, -3.904805521150]",-611.958034,penalty,-1.568891
52,[-8.6426510],"[3.526141938042, -3.876988999806]",-606.979760,penalty,-1.568891
53,[-8.6072071],"[3.504175721795, -3.849172478463]",-602.001487,penalty,-1.568891
54,[-8.5717631],"[3.482209505548, -3.821355957119]",-597.023213,penalty,-1.568891
55,[-8.5363192],"[3.460243289301, -3.793539435776]",-592.044939,penalty,-1.568891
56,[-8.5008752],"[3.438277073054, -3.765722914432]",-587.066665,penalty,-1.568891
57,[-8.4654313],"[3.416310856807, -3.737906393089]",-582.088392,penalty,-1.568891
58,[-8.4299873],"[3.394344640560, -3.710089871745]",-577.110118,penalty,-1.568891
59,[-8.3945434],"[3.372378424312, -3.682273350402]",-572.131844,penalty,-1.568891
60,[-8.3590994],"[3.350412208065, -3.654456829058]",-567.153570,penalty,-1.568891
61,[-8.3236555],"[3.328445991818, -3.626640307715]",-562.175297,penalty,-1.568891
62,[-8.2882115],"[3.306479775571, -3.598823786371]",-557.197023,penalty,-1.568891
63,[-8.2527676],"[3.284513559324, -3.571007265028]",-552.218749,penalty,-1.568891
64,[-8.2173236],"[3.262547343077, -3.543190743684]",-547.240475,penalty,-1.568891
65,[-8.1818797],"[3.240581126830, -3.515374222341]",-542.262202,penalty,-1.568891
66,[-8.1464357],"[3.218614910582, -3.487557700997]",-537.283928,penalty,-1.568891
67,[-8.1109918],"[3.196648694335, -3.459741179654]",-532.305654,penalty,-1.568891
68,[-8.0755478],"[3.174682478088, -3.431924658310]",-527.327380,penalty,-1.568891
69,[-8.0401039],"[3.152716261841, -3.404108136967]",-522.349107,penalty,-1.568891
70,[-8.0046599],"[3.130750045594, -3.376291615623]",-517.370833,penalty,-1.568891
71,[-7.9692160],"[3.108783829347, -3.348475094280]",-512.392559,penalty,-1.568891
72,[-7.9337720],"[3.086817613100, -3.320658572936]",-507.414285,penalty,-1.568891
73,[-7.8983281],"[3.064851396852, -3.292842051593]",-502.436012,penalty,-1.568891
74,[-7.8628841],"[3.042885180605, -3.265025530249]",-497.457738,penalty,-1.568891
75,[-7.8274402],"[3.020918964358, -3.237209008906]",-492.479464,penalty,-1.568891
76,[-7.7919962],"[2.998952748111, -3.209392487562]",-487.501190,penalty,-1.568891
77,[-7.7565523],"[2.976986531864, -3.181575966219]",-482.522916,penalty,-1.568891
78,[-7.7211083],"[2.955020315617, -3.153759444875]",-477.544643,penalty,-1.568891
79,[-7.6856644],"[2.933054099370, -3.125942923532]",-472.566369,penalty,-1.568891
80,[-7.6502204],"[2.911087883122, -3.098126402188]",-467.588095,penalty,-1.568891
81,[-7.6147765],"[2.889121666875, -3.070309880845]",-462.609821,penalty,-1.568891
82,[-7.5793325],"[2.867155450628, -3.042493359501]",-457.631548,penalty,-1.568891
83,[-7.5438886],"[2.845189234381, -3.014676838158]",-452.653274,penalty,-1.568891
84,[-7.5084447],"[2.823223018134, -2.986860316814]",-447.675000,penalty,-1.568891
85,[-7.4730007],"[2.801256801887, -2.959043795471]",-442.696726,penalty,-1.568891
86,[-7.4375568],"[2.779290585640, -2.931227274127]",-437.718453,penalty,-1.568891
87,[-7.4021128],"[2.757324369392, -2.903410752784]",-432.740179,penalty,-1.568891
88,[-7.3666689],"[2.735358153145, -2.875594231440]",-427.761905,penalty,-1.568891
89,[-7.3312249],"[2.713391936898, -2.847777710097]",-422.783631,penalty,-1.568891
90,[-7.2957810],"[2.691425720651, -2.819961188753]",-417.805358,penalty,-1.568891
91,[-7.2603370],"[2.669459504404, -2.792144667410]",-412.827084,penalty,-1.568891
92,[-7.2248931],"[2.647493288157, -2.764328146066]",-407.848810,penalty,-1.568891
93,[-7.1894491],"[2.625527071910, -2.736511624723]",-402.870536,penalty,-1.568891
94,[-7.1540052],"[2.603560855662, -2.708695103379]",-397.892263,penalty,-1.568891
95,[-7.1185612],"[2.581594639415, -2.680878582036]",-392.913989,penalty,-1.568891
96,[-7.0831173],"[2.559628423168, -2.653062060692]",-387.935715,penalty,-1.568891
97,[-7.0476733],"[2.537662206921, -2.625245539349]",-382.957441,penalty,-1.568891
98,[-7.0122294],"[2.515695990674, -2.597429018005]",-377.979168,penalty,-1.568891
99,[-6.9767854],"[2.493729774427, -2.569612496662]",-373.000894,penalty,-1.568891
100,[-6.9413415],"[2.471763558180, -2.541795975318]",-368.022620,penalty,-1.568891
101,[-6.9058975],"[2.449797341932, -2.513979453975]",-363.044346,penalty,-1.568891
102,[-6.8704536],"[2.427831125685, -2.486162932631]",-358.066072,penalty,-1.568891
103,[-6.8350096],"[2.405864909438, -2.458346411288]",-353.087799,penalty,-1.568891
104,[-6.7995657],"[2.383898693191, -2.430529889944]",-348.109525,penalty,-1.568891
105,[-6.7641217],"[2.361932476944, -2.402713368601]",-343.131251,penalty,-1.568891
106,[-6.7286778],"[2.339966260697, -2.374896847257]",-338.152977,penalty,-1.568891
107,[-6.6932338],"[2.318000044449, -2.347080325914]",-333.174704,penalty,-1.568891
108,[-6.6577899],"[2.296033828202, -2.319263804570]",-328.196430,penalty,-1.568891
109,[-6.6223459],"[2.274067611955, -2.291447283227]",-323.218156,penalty,-1.568891
110,[-6.5869020],"[2.252101395708, -2.263630761883]",-318.239882,penalty,-1.568891
111,[-6.5514580],"[2.230135179461, -2.235814240540]",-313.261609,penalty,-1.568891
112,[-6.5160141],"[2.208168963214, -2.207997719196]",-308.283335,penalty,-1.568891
113,[-6.4805701],"[2.186202746967, -2.180181197853]",-303.305061,penalty,-1.568891
114,[-6.4451262],"[2.164236530719, -2.152364676509]",-298.326787,penalty,-1.568891
115,[-6.4096822],"[2.142270314472, -2.124548155166]",-293.348514,penalty,-1.568891
116,[-6.3742383],"[2.120304098225, -2.096731633822]",-288.370240,penalty,-1.568891
117,[-6.3387943],"[2.098337881978, -2.068915112479]",-283.391966,penalty,-1.568891
118,[-6.3033504],"[2.076371665731, -2.041098591135]",-278.413692,penalty,-1.568891
119,[-6.2679064],"[2.054405449484, -2.013282069792]",-273.435419,penalty,-1.568891
120,[-6.2324625],"[2.032439233237, -1.985465548448]",-268.457145,penalty,-1.568891
121,[-6.1970185],"[2.010473016989, -1.957649027105]",-263.478871,penalty,-1.568891
122,[-6.1615746],"[1.988506800742, -1.929832505761]",-258.500597,penalty,-1.568891
123,[-6.1261306],"[1.966540584495, -1.902015984418]",-253.522324,penalty,-1.568891
124,[-6.0906867],"[1.944574368248, -1.874199463074]",-248.544050,penalty,-1.568891
125,[-6.0552427],"[1.922608152001, -1.846382941731]",-243.565776,penalty,-1.568891
126,[-6.0197988],"[1.900641935754, -1.818566420387]",-238.587502,penalty,-1.568891
127,[-5.9843548],"[1.878675719507, -1.790749899044]",-233.609229,penalty,-1.568891
128,[-5.9489109],"[1.856709503259, -1.762933377700]",-228.630955,penalty,-1.568891
129,[-5.9134669],"[1.834743287012, -1.735116856357]",-223.652681,penalty,-1.568891
130,[-5.8780230],"[1.812777070765, -1.707300335013]",-218.674407,penalty,-1.568891
131,[-5.8425791],"[1.790810854518, -1.679483813670]",-213.696133,penalty,-1.568891
132,[-5.8071351],"[1.768844638271, -1.651667292326]",-208.717860,penalty,-1.568891
133,[-5.7716912],"[1.746878422024, -1.623850770983]",-203.739586,penalty,-1.568891
134,[-5.7362472],"[1.724912205777, -1.596034249639]",-198.761312,penalty,-1.568891
135,[-5.7008033],"[1.702945989529, -1.568217728296]",-193.783038,penalty,-1.568891
136,[-5.6653593],"[1.680979773282, -1.540401206952]",-188.804765,penalty,-1.568891
137,[-5.6299154],"[1.659013557035, -1.512584685609]",-183.826491,penalty,-1.568891
138,[-5.5944714],"[1.637047340788, -1.484768164265]",-178.848217,penalty,-1.568891
139,[-5.5590275],"[1.615081124541, -1.456951642922]",-173.869943,penalty,-1.568891
140,[-5.5235835],"[1.593114908294, -1.429135121578]",-168.891670,penalty,-1.568891
141,[-5.4881396],"[1.571148692047, -1.401318600235]",-163.913396,penalty,-1.568891
142,[-5.4526956],"[1.549182475799, -1.373502078891]",-158.935122,penalty,-1.568891
143,[-5.4172517],"[1.527216259552, -1.345685557548]",-153.956848,penalty,-1.568891
144,[-5.3818077],"[1.505250043305, -1.317869036204]",-148.978575,penalty,-1.568891
145,[-5.3463638],"[1.483283827058, -1.290052514861]",-145.671918,penalty,-1.568891
146,[-5.3109198],"[1.461317610811, -1.262235993517]",-142.890266,penalty,-1.568891
147,[-5.2754759],"[1.439351394564, -1.234419472174]",-140.108614,penalty,-1.568891
148,[-5.2400319],"[1.417385178317, -1.206602950830]",-137.326962,penalty,-1.568891
149,[-5.2045880],"[1.395418962069, -1.178786429487]",-134.545310,penalty,-1.568891
150,[-5.1691440],"[1.373452745822, -1.150969908143]",-131.763657,penalty,-1.568891
151,[-5.1337001],"[1.351486529575, -1.123153386800]",-128.982005,penalty,-1.568891
152,[-5.0982561],"[1.329520313328, -1.095336865456]",-126.200353,penalty,-1.568891
153,[-5.0628122],"[1.307554097081, -1.067520344113]",-123.418701,penalty,-1.568891
154,[-5.0273682],"[1.285587880834, -1.039703822769]",-120.637049,penalty,-1.568891
155,[-4.9919243],"[1.263621664587, -1.011887301426]",-117.855397,penalty,-1.568891
156,[-4.9564803],"[1.241655448339, -0.984070780082]",-115.073745,penalty,-1.568891
157,[-4.9210364],"[1.219689232092, -0.956254258739]",-112.292093,penalty,-1.568891
158,[-4.8855924],"[1.197723015845, -0.928437737395]",-109.510440,penalty,-1.568891
159,[-4.8501485],"[1.175756799598, -0.900621216052]",-106.728788,penalty,-1.568891
160,[-4.8147045],"[1.153790583351, -0.872804694708]",-103.947136,penalty,-1.568891
161,[-4.7792606],"[1.131824367104, -0.844988173365]",-101.165484,penalty,-1.568891
162,[-4.7438166],"[1.109858150857, -0.817171652021]",-98.383832,penalty,-1.568891
163,[-4.7083727],"[1.087891934609, -0.789355130678]",-95.602180,penalty,-1.568891
164,[-4.6729287],"[1.065925718362, -0.761538609334]",-92.820528,penalty,-1.568891
165,[-4.6374848],"[1.043959502115, -0.733722087991]",-90.038875,penalty,-1.568891
166,[-4.6020408],"[1.021993285868, -0.705905566647]",-87.257223,penalty,-1.568891
167,[-4.5665969],"[1.000027069621, -0.678089045304]",-84.475571,penalty,-1.568891
168,[-4.5311529],"[0.978060853374, -0.650272523960]",-81.693919,penalty,-1.568891
169,[-4.4957090],"[0.956094637127, -0.622456002617]",-78.912267,penalty,-1.568891
170,[-4.4602650],"[0.934128420879, -0.594639481273]",-76.130615,penalty,-1.568891
171,[-4.4248211],"[0.912162204632, -0.566822959930]",-73.348963,penalty,-1.568891
172,[-4.3893771],"[0.890195988385, -0.539006438586]",-70.567311,penalty,-1.568891
173,[-4.3539332],"[0.868229772138, -0.511189917243]",-67.785658,penalty,-1.568891
174,[-4.3184892],"[0.846263555891, -0.483373395899]",-65.004006,penalty,-1.568891
175,[-4.2830453],"[0.824297339644, -0.455556874556]",-62.222354,penalty,-1.568891
176,[-4.2476013],"[0.802331123397, -0.427740353212]",-59.440702,penalty,-1.568891
177,[-4.2121574],"[0.780364907149, -0.399923831869]",-56.659050,penalty,-1.568891
178,[-4.1767135],"[0.758398690902, -0.372107310525]",-53.877398,penalty,-1.568891
179,[-4.1412695],"[0.736432474655, -0.344290789182]",-51.095746,penalty,-1.568891
180,[-4.1058256],"[0.714466258408, -0.316474267838]",-48.314093,penalty,-1.568891
181,[-4.0703816],"[0.692500042161, -0.288657746495]",-45.532441,penalty,-1.568891
182,[-4.0349377],"[0.670533825914, -0.260841225151]",-42.750789,penalty,-1.568891
183,[-3.9994937],"[0.648567609667, -0.233024703807]",-39.969137,penalty,-1.568891
184,[-3.9640498],"[0.626601393419, -0.205208182464]",-37.187485,penalty,-1.568891
185,[-3.9286058],"[0.604635177172, -0.177391661120]",-34.405833,penalty,-1.568891
186,[-3.8931619],"[0.582668960925, -0.149575139777]",-31.624181,penalty,-1.568891
187,[-3.8577179],"[0.560702744678, -0.121758618433]",-28.842529,penalty,-1.568891
188,[-3.8222740],"[0.538736528431, -0.093942097090]",-26.060876,penalty,-1.568891
189,[-3.7868300],"[0.516770312184, -0.066125575746]",-23.279224,penalty,-1.568891
190,[-3.7513861],"[0.494804095936, -0.038309054403]",-20.497572,penalty,-1.568891
191,[-3.7159421],"[0.472837879689, -0.010492533059]",-17.715920,penalty,-1.568891
192,[-3.6804982],"[0.450871663442, 0.017323988284]",-14.934268,penalty,-1.568891
193,[-3.6450542],"[0.428905447195, 0.045140509628]",-12.152616,penalty,-1.568891
194,[-3.6096103],"[0.406939230948, 0.072957030971]",-9.370964,penalty,-1.568891
195,[-3.5741663],"[0.384973014701, 0.100773552315]",-6.589311,penalty,-1.568891
196,[-3.5387224],"[0.363006798454, 0.128590073658]",-3.807659,penalty,-1.568891
197,[-3.5032784],"[0.341040582206, 0.156406595002]",-1.026007,penalty,-1.568891
198,[-3.4678345],"[0.319074365959, 0.184223116345]",0.000000,no penalty,-1.568891
199,[-3.4323905],"[0.297108149712, 0.212039637689]",0.000000,no penalty,-1.568891
200,[-3.3969466],"[0.275141933465, 0.239856159032]",0.000000,no penalty,-1.568891
201,[-3.3615026],"[0.253175717218, 0.267672680376]",0.000000,no penalty,-1.568891
202,[-3.3260587],"[0.231209500971, 0.295489201719]",0.000000,no penalty,-1.568891
203,[-3.2906147],"[0.209243284724, 0.323305723063]",0.000000,no penalty,-1.568891
204,[-3.2551708],"[0.187277068476, 0.351122244406]",0.000000,no penalty,-1.568891
205,[-3.2197268],"[0.165310852229, 0.378938765750]",0.000000,no penalty,-1.568891
206,[-3.1842829],"[0.143344635982, 0.406755287093]",0.000000,no penalty,-1.568891
207,[-3.1488389],"[0.121378419735, 0.434571808437]",0.000000,no penalty,-1.568891
208,[-3.1133950],"[0.099412203488, 0.462388329780]",0.000000,no penalty,-1.568891
209,[-3.0779510],"[0.077445987241, 0.490204851124]",0.000000,no penalty,-1.568891
210,[-3.0425071],"[0.055479770994, 0.518021372467]",0.000000,no penalty,-1.568891
211,[-3.0070631],"[0.033513554746, 0.545837893811]",0.000000,no penalty,-1.568891
212,[-2.9716192],"[0.011547338499, 0.573654415154]",0.000000,no penalty,-1.568892
213,[-2.9361752],"[-0.010418877748, 0.601470936498]",0.000000,no penalty,-1.568892
214,[-2.9007313],"[-0.032385093995, 0.629287457841]",0.000000,no penalty,-1.568894
215,[-2.8652873],"[-0.054351310242, 0.657103979185]",0.000000,no penalty,-1.568896
216,[-2.8298434],"[-0.076317526489, 0.684920500528]",0.000000,no penalty,-1.568900
217,[-2.7943994],"[-0.098283742736, 0.712737021872]",0.000000,no penalty,-1.568907
218,[-2.7589555],"[-0.120249958984, 0.740553543215]",0.000000,no penalty,-1.568920
219,[-2.7235115],"[-0.142216175231, 0.768370064559]",0.000000,no penalty,-1.568942
220,[-2.6880676],"[-0.164182391478, 0.796186585902]",0.000000,no penalty,-1.568980
221,[-2.6526236],"[-0.186148607725, 0.824003107246]",0.000000,no penalty,-1.569048
222,[-2.6171797],"[-0.208114823972, 0.851819628589]",0.000000,no penalty,-1.569165
